PWO_J23_irr	
Wavelength (nm)	%T
900	75.49045563
899.5	73.05012512
899	74.13161469
898.5	73.74082184
898	73.23509216
897.5	73.13397217
897	73.62072754
896.5	73.12258148
896	74.47324371
895.5	72.90802002
895	71.94179535
894.5	73.25765228
894	73.52358246
893.5	72.03424835
893	73.89498901
892.5	72.41323853
892	73.5909729
891.5	73.63461304
891	72.81872559
890.5	73.39344025
890	73.26228333
889.5	73.0263443
889	72.76786804
888.5	73.66667938
888	73.41320038
887.5	73.42468262
887	73.13883209
886.5	73.05477905
886	73.84550476
885.5	72.99745941
885	72.30403137
884.5	72.10408783
884	71.9065094
883.5	72.76555634
883	72.25190735
882.5	71.97186279
882	72.35410309
881.5	72.73143005
881	71.60507202
880.5	72.57411194
880	71.97367859
879.5	72.32970428
879	71.80860901
878.5	72.1559906
878	71.91689301
877.5	72.83881378
877	72.41069031
876.5	72.17111969
876	72.27449799
875.5	72.20328522
875	72.46065521
874.5	71.87733459
874	72.31923676
873.5	71.56144714
873	71.89933777
872.5	71.89471436
872	71.43238831
871.5	72.15630341
871	71.07200623
870.5	71.37673187
870	71.75331879
869.5	71.22133636
869	70.90729523
868.5	71.16712189
868	71.18498993
867.5	71.04592133
867	71.06639862
866.5	70.89054871
866	71.40448761
865.5	71.06771851
865	70.68455505
864.5	70.9489212
864	71.26019287
863.5	70.3986969
863	70.82406616
862.5	70.30516052
862	70.88858795
861.5	70.4963913
861	70.24452972
860.5	70.57668304
860	70.38011169
859.5	70.46080017
859	70.35102081
858.5	69.94928741
858	70.23032379
857.5	70.06142426
857	70.52327728
856.5	69.90853882
856	70.38234711
855.5	70.19924164
855	70.05004883
854.5	69.66835785
854	70.03490448
853.5	69.77048492
853	69.98698425
852.5	69.84922028
852	69.60850525
851.5	69.76535034
851	69.45929718
850.5	69.50102997
850	69.26416016
849.5	69.48457336
849	69.69970703
848.5	69.48082733
848	69.39149475
847.5	69.33277893
847	69.39333344
846.5	69.27592468
846	69.23384094
845.5	68.95075226
845	69.23047638
844.5	69.12382507
844	68.97412109
843.5	69.01329803
843	69.04903412
842.5	68.8736496
842	68.87238312
841.5	68.82644653
841	68.55453491
840.5	68.72640228
840	68.6516037
839.5	68.44494629
839	68.55225372
838.5	68.5565567
838	68.491539
837.5	68.37268829
837	68.37876129
836.5	68.27047729
836	68.23410034
835.5	68.26823425
835	68.25025177
834.5	68.13496399
834	68.04627991
833.5	67.97053528
833	67.94098663
832.5	67.97546387
832	67.98293304
831.5	67.83535767
831	67.78520966
830.5	67.85620117
830	67.79953003
829.5	67.6807251
829	67.65582275
828.5	67.53751373
828	67.54492188
827.5	67.4675293
827	67.48882294
826.5	67.42173004
826	67.28339386
825.5	67.26846313
825	67.22521973
824.5	67.20819092
824	67.11917877
823.5	67.09452057
823	67.01947784
822.5	67.07545471
822	66.91421509
821.5	66.89833069
821	66.95037842
820.5	66.81256104
820	66.79582977
819.5	66.7297287
819	66.69534302
818.5	66.57130432
818	66.58692932
817.5	66.45704651
817	66.43942261
816.5	66.47144318
816	66.33555603
815.5	66.31108093
815	66.34111023
814.5	66.25520325
814	66.23851776
813.5	66.14570618
813	66.09479523
812.5	66.08735657
812	66.03539276
811.5	66.04504395
811	66.02655029
810.5	65.96921539
810	65.78296661
809.5	65.86432648
809	65.80944061
808.5	65.69411469
808	65.69758606
807.5	65.7022171
807	65.60205841
806.5	65.63690948
806	65.59402466
805.5	65.47547913
805	65.39045715
804.5	65.37333679
804	65.38964844
803.5	65.3523407
803	65.30560303
802.5	65.31507111
802	65.26955414
801.5	65.17440033
801	65.11090088
800.5	65.06439972
800	65.07436371
799.5	64.98073578
799	64.96492004
798.5	64.90656281
798	64.81723785
797.5	64.77314758
797	64.79576874
796.5	64.67647552
796	64.78356171
795.5	64.64659882
795	64.51689148
794.5	64.56504822
794	64.50670624
793.5	64.46527863
793	64.39304352
792.5	64.36300659
792	64.37567902
791.5	64.29651642
791	64.21604919
790.5	64.18599701
790	64.18664551
789.5	64.09605408
789	64.08563232
788.5	63.99637985
788	63.99900818
787.5	63.96489716
787	63.91204071
786.5	63.79242706
786	63.82944489
785.5	63.76453018
785	63.71287537
784.5	63.63350677
784	63.58266449
783.5	63.53339386
783	63.54466629
782.5	63.48457336
782	63.44330215
781.5	63.38403702
781	63.38767242
780.5	63.34307861
780	63.26527405
779.5	63.2563591
779	63.2316246
778.5	63.13497543
778	63.12361908
777.5	63.07978058
777	63.04564667
776.5	62.93991852
776	62.95093155
775.5	62.87043762
775	62.8482399
774.5	62.75141144
774	62.73911667
773.5	62.70747757
773	62.63611221
772.5	62.7012558
772	62.58768463
771.5	62.51008606
771	62.44535446
770.5	62.42387772
770	62.42131042
769.5	62.31668091
769	62.2833786
768.5	62.27872849
768	62.17945862
767.5	62.16461563
767	62.1374855
766.5	62.10995483
766	62.05103302
765.5	61.95742416
765	61.93402481
764.5	61.90947723
764	61.88007736
763.5	61.80623627
763	61.79860687
762.5	61.73847961
762	61.67024994
761.5	61.6410675
761	61.58964539
760.5	61.57666016
760	61.56013107
759.5	61.4560051
759	61.41938019
758.5	61.36770248
758	61.32328033
757.5	61.2910347
757	61.27710342
756.5	61.192173
756	61.16508102
755.5	61.10162735
755	61.07821655
754.5	60.99575806
754	60.98496246
753.5	60.92806625
753	60.89807892
752.5	60.91008759
752	60.77634048
751.5	60.76074982
751	60.76737213
750.5	60.6990509
750	60.63995361
749.5	60.62314606
749	60.60824585
748.5	60.50707245
748	60.4665451
747.5	60.406147
747	60.39659882
746.5	60.34420776
746	60.24662399
745.5	60.25064468
745	60.24798584
744.5	60.19493484
744	60.12699509
743.5	60.11641693
743	60.08699036
742.5	60.05912399
742	59.99780273
741.5	59.94548035
741	59.93647003
740.5	59.84219742
740	59.83432388
739.5	59.82379913
739	59.78321838
738.5	59.73315811
738	59.71030045
737.5	59.66047668
737	59.64311218
736.5	59.55387497
736	59.54725647
735.5	59.5472641
735	59.4978447
734.5	59.44445801
734	59.41762161
733.5	59.38995361
733	59.32425308
732.5	59.29672241
732	59.29618073
731.5	59.25806808
731	59.20699692
730.5	59.16439819
730	59.15811539
729.5	59.13018417
729	59.12387848
728.5	59.03847885
728	59.06524658
727.5	58.96200562
727	58.94341278
726.5	58.95394516
726	58.87041092
725.5	58.84698105
725	58.81721497
724.5	58.81769562
724	58.77010727
723.5	58.75935364
723	58.77713394
722.5	58.68941498
722	58.65227127
721.5	58.6336441
721	58.60589218
720.5	58.58768082
720	58.54875565
719.5	58.51392746
719	58.49834824
718.5	58.48923874
718	58.45775604
717.5	58.42852783
717	58.40756989
716.5	58.34778595
716	58.33914185
715.5	58.30723572
715	58.29476547
714.5	58.26662064
714	58.2208519
713.5	58.16984177
713	58.16997147
712.5	58.12738419
712	58.13148499
711.5	58.06690979
711	58.05742264
710.5	58.03928375
710	58.00464249
709.5	58.01245499
709	57.95316696
708.5	57.94345093
708	57.89488983
707.5	57.86027908
707	57.83380127
706.5	57.81842041
706	57.79003906
705.5	57.7665863
705	57.73751831
704.5	57.72892761
704	57.69966888
703.5	57.65886307
703	57.63606262
702.5	57.59310913
702	57.59293365
701.5	57.57660675
701	57.54543686
700.5	57.48894119
700	57.46146011
699.5	57.42947388
699	57.42923737
698.5	57.38310242
698	57.34851837
697.5	57.34292984
697	57.28873444
696.5	57.24695969
696	57.21854019
695.5	57.17166519
695	57.1560936
694.5	57.14002991
694	57.07715225
693.5	57.08312225
693	57.00912476
692.5	57.01874542
692	56.96109009
691.5	56.92795944
691	56.87371445
690.5	56.89117813
690	56.82633972
689.5	56.78055954
689	56.77704239
688.5	56.72037125
688	56.67533875
687.5	56.60610199
687	56.59854507
686.5	56.56711578
686	56.50836182
685.5	56.44823456
685	56.42475891
684.5	56.40007782
684	56.34982681
683.5	56.28813934
683	56.28289032
682.5	56.21868896
682	56.1928978
681.5	56.14484406
681	56.08284378
680.5	56.03951645
680	55.981987
679.5	55.93034744
679	55.90122223
678.5	55.85372925
678	55.789711
677.5	55.71463013
677	55.67269135
676.5	55.63908768
676	55.57709885
675.5	55.53716278
675	55.47517014
674.5	55.41983414
674	55.38512421
673.5	55.31075668
673	55.26800919
672.5	55.21407318
672	55.15544891
671.5	55.11004257
671	55.0107193
670.5	54.96101379
670	54.88176346
669.5	54.82455444
669	54.77371216
668.5	54.71876907
668	54.66866302
667.5	54.55922318
667	54.4988327
666.5	54.44440842
666	54.37617493
665.5	54.30172729
665	54.25318909
664.5	54.16999435
664	54.08722687
663.5	54.03928757
663	53.95713043
662.5	53.88758087
662	53.83291245
661.5	53.76672745
661	53.66625214
660.5	53.59114838
660	53.52693939
659.5	53.45635223
659	53.37025452
658.5	53.29875946
658	53.210495
657.5	53.14177322
657	53.06401825
656.5	52.98759842
656	52.91456604
655.5	52.82297134
655	52.74866867
654.5	52.66378021
654	52.57632828
653.5	52.4840126
653	52.40289688
652.5	52.30664444
652	52.24744034
651.5	52.1578598
651	52.04239655
650.5	51.98295593
650	51.88618851
649.5	51.78688812
649	51.69556046
648.5	51.60924149
648	51.53839493
647.5	51.4343071
647	51.33752823
646.5	51.24196243
646	51.14628601
645.5	51.06404495
645	50.97659683
644.5	50.86573792
644	50.78308487
643.5	50.69141388
643	50.56100464
642.5	50.45837021
642	50.3663063
641.5	50.27401352
641	50.17348099
640.5	50.05805969
640	49.95541382
639.5	49.87852097
639	49.77156067
638.5	49.65454102
638	49.54972076
637.5	49.46379471
637	49.35817337
636.5	49.25499725
636	49.15201187
635.5	49.04711914
635	48.94623184
634.5	48.85334778
634	48.73961258
633.5	48.62356567
633	48.52446365
632.5	48.41973877
632	48.31058502
631.5	48.19430923
631	48.08494568
630.5	47.97468185
630	47.88321686
629.5	47.78466034
629	47.65607834
628.5	47.56924057
628	47.46964645
627.5	47.34387207
627	47.2397728
626.5	47.14156723
626	47.02298737
625.5	46.9131546
625	46.81413269
624.5	46.7021637
624	46.58427811
623.5	46.49092102
623	46.38442612
622.5	46.27975845
622	46.17107391
621.5	46.05682373
621	45.93616867
620.5	45.83850098
620	45.71231079
619.5	45.62650681
619	45.53975296
618.5	45.40983582
618	45.32316589
617.5	45.19659042
617	45.06945801
616.5	44.98134995
616	44.87372971
615.5	44.76036835
615	44.6560936
614.5	44.55147934
614	44.44373703
613.5	44.34418488
613	44.22533798
612.5	44.12166595
612	44.02374649
611.5	43.90904236
611	43.80634308
610.5	43.71237946
610	43.60469437
609.5	43.48448944
609	43.37420273
608.5	43.29001236
608	43.18063736
607.5	43.06758499
607	42.96817398
606.5	42.85749817
606	42.74730682
605.5	42.65436554
605	42.53509521
604.5	42.43272781
604	42.33242798
603.5	42.21139145
603	42.12393951
602.5	42.01450729
602	41.91539383
601.5	41.80089951
601	41.69001389
600.5	41.57968903
600	41.47930527
599.5	41.36640549
599	41.26131439
598.5	41.16346741
598	41.04974747
597.5	40.94406128
597	40.83469391
596.5	40.71266174
596	40.61821365
595.5	40.51826859
595	40.40764236
594.5	40.29732513
594	40.18700027
593.5	40.08042526
593	39.96640778
592.5	39.87926102
592	39.75701904
591.5	39.65120697
591	39.5512085
590.5	39.44509506
590	39.31990433
589.5	39.22256851
589	39.11867142
588.5	39.00732422
588	38.9042244
587.5	38.79974365
587	38.71081161
586.5	38.58742523
586	38.50540543
585.5	38.40205383
585	38.28301239
584.5	38.17066574
584	38.07782745
583.5	37.97140884
583	37.88275528
582.5	37.78668594
582	37.68248749
581.5	37.57911301
581	37.48321915
580.5	37.40421677
580	37.27404022
579.5	37.1843605
579	37.07594681
578.5	36.99865723
578	36.90411377
577.5	36.80893326
577	36.70543289
576.5	36.61090469
576	36.5291214
575.5	36.42771149
575	36.32394409
574.5	36.23493195
574	36.15301514
573.5	36.05215454
573	35.9665947
572.5	35.88387299
572	35.79361725
571.5	35.70305252
571	35.6108284
570.5	35.52415466
570	35.42869186
569.5	35.36481857
569	35.26687241
568.5	35.18070221
568	35.09432983
567.5	35.01800919
567	34.93586731
566.5	34.83911896
566	34.75409317
565.5	34.68539429
565	34.60427475
564.5	34.53010559
564	34.45156097
563.5	34.35759735
563	34.2843399
562.5	34.21982574
562	34.12307358
561.5	34.03614044
561	33.97700119
560.5	33.87479019
560	33.81913376
559.5	33.74245834
559	33.66441727
558.5	33.58551025
558	33.52860641
557.5	33.45269012
557	33.39698792
556.5	33.29435349
556	33.21424866
555.5	33.15136337
555	33.07270813
554.5	32.99770355
554	32.9239769
553.5	32.87042236
553	32.79740143
552.5	32.74625015
552	32.66661072
551.5	32.59297943
551	32.53076553
550.5	32.46759415
550	32.37774277
549.5	32.32659531
549	32.2545433
548.5	32.18624496
548	32.12673569
547.5	32.06297684
547	32.01159286
546.5	31.94152069
546	31.88125801
545.5	31.8005619
545	31.74496269
544.5	31.69142532
544	31.63446236
543.5	31.5689888
543	31.50985909
542.5	31.45776749
542	31.39768791
541.5	31.32470322
541	31.2859211
540.5	31.22943687
540	31.17927933
539.5	31.13292503
539	31.06546402
538.5	31.01409721
538	30.96238899
537.5	30.90336227
537	30.8512516
536.5	30.79743385
536	30.74464417
535.5	30.68831825
535	30.64204407
534.5	30.59646225
534	30.53350449
533.5	30.48547554
533	30.42603111
532.5	30.38624001
532	30.34453964
531.5	30.29364967
531	30.23863411
530.5	30.19712639
530	30.13964844
529.5	30.09629631
529	30.05790138
528.5	30.00132751
528	29.95390511
527.5	29.90225601
527	29.8684845
526.5	29.81489944
526	29.77270126
525.5	29.73541069
525	29.68068695
524.5	29.63801003
524	29.60828781
523.5	29.56918716
523	29.52105141
522.5	29.47898865
522	29.45158386
521.5	29.40215683
521	29.35904312
520.5	29.32625771
520	29.29267311
519.5	29.25000191
519	29.2065258
518.5	29.17543411
518	29.14269829
517.5	29.08980179
517	29.0574398
516.5	29.03037453
516	29.00115013
515.5	28.95100975
515	28.91345978
514.5	28.88194084
514	28.84586716
513.5	28.81357956
513	28.78841782
512.5	28.76024246
512	28.70879745
511.5	28.68553162
511	28.65374374
510.5	28.61613655
510	28.58363152
509.5	28.5415535
509	28.52822876
508.5	28.50028801
508	28.46190071
507.5	28.43656158
507	28.40363121
506.5	28.36205292
506	28.34238625
505.5	28.30967903
505	28.28047562
504.5	28.25677109
504	28.23249435
503.5	28.19915199
503	28.18495941
502.5	28.15396118
502	28.13017273
501.5	28.08758545
501	28.0811615
500.5	28.04783821
500	28.02650642
499.5	28.00685692
499	27.98081589
498.5	27.95041275
498	27.93042946
497.5	27.89826012
497	27.86412239
496.5	27.85139656
