nm; %T
900.000000; 120.727500
899.000000; 111.525200
898.000000; 107.045500
897.000000; 117.065700
896.000000; 116.672300
895.000000; 118.653300
894.000000; 117.028300
893.000000; 112.461700
892.000000; 117.166800
891.000000; 110.568400
890.000000; 112.905900
889.000000; 117.697900
888.000000; 114.389400
887.000000; 114.028900
886.000000; 111.113400
885.000000; 113.588100
884.000000; 117.871800
883.000000; 114.809900
882.000000; 113.080200
881.000000; 114.525400
880.000000; 115.372700
879.000000; 116.581100
878.000000; 113.049300
877.000000; 117.054300
876.000000; 115.878700
875.000000; 116.591900
874.000000; 116.780400
873.000000; 117.285200
872.000000; 116.602300
871.000000; 116.617400
870.000000; 116.902300
869.000000; 117.319200
868.000000; 117.600300
867.000000; 117.772800
866.000000; 118.001800
865.000000; 116.650100
864.000000; 116.941300
863.000000; 118.012800
862.000000; 117.627500
861.000000; 118.436500
860.000000; 119.909000
859.000000; 119.317900
858.000000; 118.045500
857.000000; 118.443500
856.000000; 118.758900
855.000000; 118.624200
854.000000; 118.782000
853.000000; 118.836900
852.000000; 119.303800
851.000000; 118.992400
850.000000; 119.315200
849.000000; 119.334200
848.000000; 119.489200
847.000000; 119.294300
846.000000; 119.674700
845.000000; 119.686100
844.000000; 119.751300
843.000000; 120.168200
842.000000; 119.883400
841.000000; 120.368100
840.000000; 120.301800
839.000000; 120.326400
838.000000; 120.230100
837.000000; 120.407000
836.000000; 120.627300
835.000000; 120.464600
834.000000; 120.337800
833.000000; 120.717300
832.000000; 120.789500
831.000000; 120.773400
830.000000; 120.659500
829.000000; 120.788900
828.000000; 120.818200
827.000000; 120.698100
826.000000; 120.966400
825.000000; 120.660900
824.000000; 120.792500
823.000000; 120.790900
822.000000; 120.725000
821.000000; 120.814500
820.000000; 120.903500
819.000000; 120.853700
818.000000; 120.761800
817.000000; 120.823800
816.000000; 120.936000
815.000000; 120.905200
814.000000; 120.973800
813.000000; 121.146600
812.000000; 121.036100
811.000000; 121.062000
810.000000; 121.134800
809.000000; 120.925300
808.000000; 120.833900
807.000000; 120.808200
806.000000; 120.731600
805.000000; 120.818000
804.000000; 120.907400
803.000000; 120.794500
802.000000; 120.717200
801.000000; 120.583000
800.000000; 120.601700
799.000000; 120.647000
798.000000; 120.464500
797.000000; 120.479300
796.000000; 120.400800
795.000000; 120.155700
794.000000; 120.299900
793.000000; 120.370500
792.000000; 120.263200
791.000000; 120.185300
790.000000; 120.296300
789.000000; 120.186000
788.000000; 120.176800
787.000000; 120.217100
786.000000; 119.962500
785.000000; 119.951200
784.000000; 119.989600
783.000000; 119.964400
782.000000; 119.771900
781.000000; 119.850700
780.000000; 120.059000
779.000000; 119.912500
778.000000; 119.912100
777.000000; 119.878300
776.000000; 119.722800
775.000000; 119.831200
774.000000; 119.868200
773.000000; 119.710300
772.000000; 119.657800
771.000000; 119.570000
770.000000; 119.319700
769.000000; 119.403000
768.000000; 119.490900
767.000000; 119.347300
766.000000; 119.116800
765.000000; 119.066100
764.000000; 119.181100
763.000000; 119.111300
762.000000; 119.079600
761.000000; 119.076600
760.000000; 118.913500
759.000000; 118.934000
758.000000; 118.896100
757.000000; 118.881100
756.000000; 118.784800
755.000000; 118.637800
754.000000; 118.666000
753.000000; 118.715900
752.000000; 118.553200
751.000000; 118.519600
750.000000; 118.495900
749.000000; 118.389200
748.000000; 118.453800
747.000000; 118.436700
746.000000; 118.366200
745.000000; 118.372000
744.000000; 118.329800
743.000000; 118.234900
742.000000; 118.215100
741.000000; 118.151200
740.000000; 118.145700
739.000000; 118.133300
738.000000; 118.049900
737.000000; 117.857500
736.000000; 117.923100
735.000000; 117.920100
734.000000; 117.882700
733.000000; 117.823900
732.000000; 117.841000
731.000000; 117.685300
730.000000; 117.737600
729.000000; 117.680500
728.000000; 117.655200
727.000000; 117.588600
726.000000; 117.575500
725.000000; 117.577000
724.000000; 117.483000
723.000000; 117.403800
722.000000; 117.316100
721.000000; 117.372500
720.000000; 117.375500
719.000000; 117.256000
718.000000; 117.300900
717.000000; 117.223000
716.000000; 117.257400
715.000000; 117.278300
714.000000; 117.173000
713.000000; 117.129000
712.000000; 117.152600
711.000000; 117.034300
710.000000; 117.000300
709.000000; 117.117100
708.000000; 116.857400
707.000000; 116.811600
706.000000; 116.763800
705.000000; 116.864800
704.000000; 116.841700
703.000000; 116.753900
702.000000; 116.802400
701.000000; 116.732600
700.000000; 116.660300
699.000000; 116.723500
698.000000; 116.588800
697.000000; 116.579400
696.000000; 116.572500
695.000000; 116.546300
694.000000; 116.528300
693.000000; 116.511300
692.000000; 116.523800
691.000000; 116.408800
690.000000; 116.582400
689.000000; 116.588100
688.000000; 116.657700
687.000000; 116.578300
686.000000; 116.594400
685.000000; 116.571500
684.000000; 116.504000
683.000000; 116.437200
682.000000; 116.429400
681.000000; 116.388600
680.000000; 116.408900
679.000000; 116.364800
678.000000; 116.327800
677.000000; 116.227400
676.000000; 116.220500
675.000000; 116.131200
674.000000; 116.198200
673.000000; 116.228400
672.000000; 116.061100
671.000000; 116.071900
670.000000; 116.061800
669.000000; 116.065600
668.000000; 116.059600
667.000000; 116.089500
666.000000; 116.059600
665.000000; 116.032000
664.000000; 116.014800
663.000000; 115.921400
662.000000; 115.913600
661.000000; 115.953700
660.000000; 115.962800
659.000000; 115.967800
