nm; %T
900.000000; 73.926239
899.000000; 72.399153
898.000000; 76.736808
897.000000; 67.642956
896.000000; 69.586097
895.000000; 69.923719
894.000000; 67.549559
893.000000; 77.482201
892.000000; 66.861176
891.000000; 73.190441
890.000000; 71.593867
889.000000; 70.300490
888.000000; 70.129837
887.000000; 69.922800
886.000000; 72.289031
885.000000; 71.168811
884.000000; 67.348594
883.000000; 69.380080
882.000000; 72.476791
881.000000; 72.114832
880.000000; 69.756017
879.000000; 69.337483
878.000000; 74.286528
877.000000; 71.349707
876.000000; 71.334249
875.000000; 70.748139
874.000000; 69.744666
873.000000; 70.376655
872.000000; 70.402213
871.000000; 70.746904
870.000000; 70.377144
869.000000; 69.794373
868.000000; 69.833920
867.000000; 69.922002
866.000000; 69.815799
865.000000; 71.080608
864.000000; 70.538210
863.000000; 70.454815
862.000000; 70.732694
861.000000; 69.999536
860.000000; 69.051197
859.000000; 69.609924
858.000000; 70.991101
857.000000; 70.615610
856.000000; 70.222695
855.000000; 70.394237
854.000000; 69.947635
853.000000; 70.088331
852.000000; 70.078153
851.000000; 70.118512
850.000000; 69.708973
849.000000; 69.876951
848.000000; 69.911088
847.000000; 70.114834
846.000000; 69.931907
845.000000; 69.986657
844.000000; 69.934022
843.000000; 69.812230
842.000000; 69.909095
841.000000; 69.442319
840.000000; 69.454073
839.000000; 69.509684
838.000000; 69.556376
837.000000; 69.366648
836.000000; 69.288461
835.000000; 69.134999
834.000000; 69.277733
833.000000; 69.197207
832.000000; 69.143096
831.000000; 69.095430
830.000000; 69.292845
829.000000; 69.303222
828.000000; 69.281780
827.000000; 69.149307
826.000000; 69.114068
825.000000; 69.226319
824.000000; 69.300495
823.000000; 69.197431
822.000000; 69.158252
821.000000; 69.070021
820.000000; 69.009499
819.000000; 69.002356
818.000000; 69.181894
817.000000; 69.139276
816.000000; 69.038417
815.000000; 68.998852
814.000000; 68.911037
813.000000; 68.667961
812.000000; 68.772705
811.000000; 68.718095
810.000000; 68.818127
809.000000; 68.962244
808.000000; 68.870656
807.000000; 68.987701
806.000000; 68.970178
805.000000; 69.029449
804.000000; 68.938047
803.000000; 68.924330
802.000000; 68.992488
801.000000; 69.071428
800.000000; 68.955910
799.000000; 68.873159
798.000000; 68.946204
797.000000; 68.937071
796.000000; 69.072880
795.000000; 69.152275
794.000000; 69.024579
793.000000; 68.973212
792.000000; 68.880007
791.000000; 68.882301
790.000000; 68.888237
789.000000; 69.007455
788.000000; 68.910638
787.000000; 68.759852
786.000000; 68.838262
785.000000; 68.866172
784.000000; 68.817297
783.000000; 68.827502
782.000000; 68.872665
781.000000; 68.744863
780.000000; 68.628008
779.000000; 68.849953
778.000000; 68.784385
777.000000; 68.624680
776.000000; 68.791826
775.000000; 68.687537
774.000000; 68.586164
773.000000; 68.723326
772.000000; 68.665728
771.000000; 68.678766
770.000000; 68.948547
769.000000; 68.797015
768.000000; 68.622632
767.000000; 68.724471
766.000000; 68.796677
765.000000; 68.880059
764.000000; 68.811162
763.000000; 68.717913
762.000000; 68.667261
761.000000; 68.649256
760.000000; 68.788994
759.000000; 68.747457
758.000000; 68.678367
757.000000; 68.717567
756.000000; 68.739182
755.000000; 68.713007
754.000000; 68.737633
753.000000; 68.705119
752.000000; 68.697597
751.000000; 68.732345
750.000000; 68.621530
749.000000; 68.687178
748.000000; 68.654361
747.000000; 68.611756
746.000000; 68.662591
745.000000; 68.612848
744.000000; 68.593203
743.000000; 68.618910
742.000000; 68.568313
741.000000; 68.602266
740.000000; 68.592594
739.000000; 68.502869
738.000000; 68.513993
737.000000; 68.659271
736.000000; 68.586477
735.000000; 68.486289
734.000000; 68.411565
733.000000; 68.409380
732.000000; 68.435943
731.000000; 68.558265
730.000000; 68.512438
729.000000; 68.488662
728.000000; 68.422730
727.000000; 68.410373
726.000000; 68.424884
725.000000; 68.400452
724.000000; 68.433050
723.000000; 68.420273
722.000000; 68.423004
721.000000; 68.366951
720.000000; 68.327632
719.000000; 68.432319
718.000000; 68.349433
717.000000; 68.389053
716.000000; 68.321061
715.000000; 68.332334
714.000000; 68.329479
713.000000; 68.348231
712.000000; 68.262164
711.000000; 68.265372
710.000000; 68.234355
709.000000; 68.203533
708.000000; 68.370082
707.000000; 68.309911
706.000000; 68.270303
705.000000; 68.147295
704.000000; 68.217511
703.000000; 68.214852
702.000000; 68.180277
701.000000; 68.232610
700.000000; 68.153176
699.000000; 68.107451
698.000000; 68.168383
697.000000; 68.097537
696.000000; 68.060735
695.000000; 68.059303
694.000000; 68.035318
693.000000; 68.078118
692.000000; 68.041979
691.000000; 68.059202
690.000000; 67.918314
689.000000; 67.929746
688.000000; 67.894704
687.000000; 67.844530
686.000000; 67.863208
685.000000; 67.884431
684.000000; 67.840160
683.000000; 67.878479
682.000000; 67.865848
681.000000; 67.793495
680.000000; 67.824196
679.000000; 67.837439
678.000000; 67.795058
677.000000; 67.906707
676.000000; 67.868577
675.000000; 67.804173
674.000000; 67.784096
673.000000; 67.715550
672.000000; 67.833236
671.000000; 67.718457
670.000000; 67.733570
669.000000; 67.678278
668.000000; 67.766906
667.000000; 67.651510
666.000000; 67.658772
665.000000; 67.603420
664.000000; 67.706965
663.000000; 67.680169
662.000000; 67.646764
661.000000; 67.650623
660.000000; 67.598402
659.000000; 67.595574
658.000000; 67.569254
657.000000; 67.583814
656.000000; 67.531115
655.000000; 67.576369
654.000000; 67.481020
653.000000; 67.518178
652.000000; 67.510620
651.000000; 67.515033
650.000000; 67.609830
649.000000; 67.429622
648.000000; 67.571987
647.000000; 67.525349
646.000000; 67.489496
645.000000; 67.482741
644.000000; 67.422826
643.000000; 67.457575
642.000000; 67.402575
641.000000; 67.424787
640.000000; 67.383171
639.000000; 67.371294
638.000000; 67.333124
637.000000; 67.292218
636.000000; 67.277624
635.000000; 67.382526
634.000000; 67.304745
633.000000; 67.312457
632.000000; 67.249845
631.000000; 67.324095
630.000000; 67.296503
629.000000; 67.294030
628.000000; 67.197152
627.000000; 67.179575
626.000000; 67.189946
625.000000; 67.257802
624.000000; 67.135840
