nm; %T
900.000000; 114.434600
899.000000; 109.482000
898.000000; 115.835600
897.000000; 109.279600
896.000000; 115.106000
895.000000; 115.192800
894.000000; 112.627000
893.000000; 112.870100
892.000000; 116.640300
891.000000; 114.906700
890.000000; 114.732200
889.000000; 113.337600
888.000000; 117.499100
887.000000; 115.160500
886.000000; 114.665700
885.000000; 115.420700
884.000000; 117.265300
883.000000; 117.138700
882.000000; 115.629800
881.000000; 117.669600
880.000000; 115.980600
879.000000; 116.446900
878.000000; 116.109200
877.000000; 115.674500
876.000000; 114.906800
875.000000; 115.514700
874.000000; 115.526100
873.000000; 117.597400
872.000000; 118.035700
871.000000; 118.573100
870.000000; 117.192400
869.000000; 116.972100
868.000000; 117.928000
867.000000; 118.664800
866.000000; 117.835400
865.000000; 117.616700
864.000000; 117.981600
863.000000; 117.168700
862.000000; 117.846300
861.000000; 118.802700
860.000000; 119.231800
859.000000; 118.665900
858.000000; 118.562800
857.000000; 118.811100
856.000000; 118.657300
855.000000; 118.227600
854.000000; 118.090000
853.000000; 118.762800
852.000000; 118.811300
851.000000; 118.670200
850.000000; 119.097700
849.000000; 119.388300
848.000000; 119.633700
847.000000; 119.734300
846.000000; 119.371900
845.000000; 119.436500
844.000000; 120.106300
843.000000; 119.678000
842.000000; 119.721900
841.000000; 120.150800
840.000000; 120.465000
839.000000; 120.545000
838.000000; 120.249700
837.000000; 120.089900
836.000000; 120.513800
835.000000; 120.319100
834.000000; 120.400800
833.000000; 120.449900
832.000000; 120.525500
831.000000; 120.633300
830.000000; 120.690400
829.000000; 120.863200
828.000000; 121.010900
827.000000; 120.999400
826.000000; 120.892200
825.000000; 120.690900
824.000000; 120.811600
823.000000; 120.795100
822.000000; 120.795500
821.000000; 120.870000
820.000000; 120.706500
819.000000; 121.029800
818.000000; 121.298200
817.000000; 121.006000
816.000000; 120.872500
815.000000; 120.984600
814.000000; 121.119200
813.000000; 121.253900
812.000000; 121.221300
811.000000; 121.081600
810.000000; 120.884400
809.000000; 120.833900
808.000000; 120.851300
807.000000; 120.846400
806.000000; 120.744900
805.000000; 120.775200
804.000000; 120.567500
803.000000; 120.677700
802.000000; 120.839700
801.000000; 120.692100
800.000000; 120.640300
799.000000; 120.586900
798.000000; 120.456000
797.000000; 120.519500
796.000000; 120.556700
795.000000; 120.671200
794.000000; 120.714000
793.000000; 120.566000
792.000000; 120.347200
791.000000; 120.315000
790.000000; 120.386800
789.000000; 120.238600
788.000000; 120.296500
787.000000; 120.388900
786.000000; 120.180400
785.000000; 120.022000
784.000000; 119.988700
783.000000; 119.857600
782.000000; 119.766800
781.000000; 119.957900
780.000000; 120.056500
779.000000; 119.857500
778.000000; 119.693300
777.000000; 119.688300
776.000000; 119.873500
775.000000; 119.852300
774.000000; 119.611400
773.000000; 119.503000
772.000000; 119.532700
771.000000; 119.527200
770.000000; 119.384700
769.000000; 119.312400
768.000000; 119.305700
767.000000; 119.409100
766.000000; 119.498800
765.000000; 119.405900
764.000000; 119.299800
763.000000; 119.301100
762.000000; 119.200000
761.000000; 119.102300
760.000000; 119.001200
759.000000; 118.901800
758.000000; 118.779000
757.000000; 118.854900
756.000000; 118.756000
755.000000; 118.661800
754.000000; 118.765200
753.000000; 118.767000
752.000000; 118.677200
751.000000; 118.729800
750.000000; 118.769600
749.000000; 118.639300
748.000000; 118.594100
747.000000; 118.479300
746.000000; 118.416800
745.000000; 118.448200
744.000000; 118.352000
743.000000; 118.238200
742.000000; 118.146600
741.000000; 118.247400
740.000000; 118.168400
739.000000; 118.121500
738.000000; 118.075900
737.000000; 117.885600
736.000000; 117.759900
735.000000; 117.916800
734.000000; 117.836200
733.000000; 117.960700
732.000000; 117.896600
731.000000; 117.782600
730.000000; 117.761400
729.000000; 117.649300
728.000000; 117.611000
727.000000; 117.605300
726.000000; 117.514200
725.000000; 117.587300
724.000000; 117.590300
723.000000; 117.444000
722.000000; 117.376000
721.000000; 117.398800
720.000000; 117.373800
719.000000; 117.249800
718.000000; 117.217600
717.000000; 117.275600
716.000000; 117.208500
715.000000; 117.017400
714.000000; 117.159200
713.000000; 116.885600
712.000000; 117.153300
711.000000; 117.026000
710.000000; 117.053700
709.000000; 117.026300
708.000000; 116.991000
707.000000; 116.908900
706.000000; 116.906900
705.000000; 116.943200
704.000000; 116.978000
703.000000; 116.873300
702.000000; 116.706200
701.000000; 116.611600
700.000000; 116.684800
699.000000; 116.698600
698.000000; 116.579900
697.000000; 116.595200
696.000000; 116.733000
695.000000; 116.634300
694.000000; 116.512800
693.000000; 116.550500
692.000000; 116.510300
691.000000; 116.605400
690.000000; 116.449100
689.000000; 116.545600
688.000000; 116.585600
687.000000; 116.643200
686.000000; 116.466500
685.000000; 116.595300
684.000000; 116.469600
683.000000; 116.370400
682.000000; 116.459400
681.000000; 116.422400
680.000000; 116.412700
679.000000; 116.435000
678.000000; 116.374100
677.000000; 116.329700
676.000000; 116.287100
675.000000; 116.222800
674.000000; 116.222900
673.000000; 116.219900
