nm; %T
900.000000; 74.934679
899.000000; 81.209514
898.000000; 75.186558
897.000000; 78.348749
896.000000; 73.224506
895.000000; 72.488472
894.000000; 72.717022
893.000000; 78.311617
892.000000; 77.256146
891.000000; 74.641949
890.000000; 72.958943
889.000000; 77.154184
888.000000; 73.960141
887.000000; 75.001845
886.000000; 73.088988
885.000000; 75.982904
884.000000; 73.769137
883.000000; 74.571000
882.000000; 74.760313
881.000000; 74.017248
880.000000; 75.575139
879.000000; 74.252986
878.000000; 72.975268
877.000000; 75.691185
876.000000; 76.355881
875.000000; 74.706855
874.000000; 75.495840
873.000000; 75.544697
872.000000; 74.055392
871.000000; 73.504530
870.000000; 74.867739
869.000000; 74.866656
868.000000; 74.213334
867.000000; 73.733070
866.000000; 74.814105
865.000000; 74.262158
864.000000; 74.209538
863.000000; 75.309276
862.000000; 74.868706
861.000000; 73.964060
860.000000; 73.457249
859.000000; 74.381183
858.000000; 74.480613
857.000000; 74.551957
856.000000; 74.336092
855.000000; 74.512466
854.000000; 75.041578
853.000000; 74.205054
852.000000; 73.852487
851.000000; 74.415649
850.000000; 74.258781
849.000000; 74.194037
848.000000; 74.038753
847.000000; 74.221004
846.000000; 74.200293
845.000000; 74.290020
844.000000; 73.915606
843.000000; 74.037835
842.000000; 73.879048
841.000000; 73.620817
840.000000; 73.568007
839.000000; 73.646688
838.000000; 73.616733
837.000000; 73.842929
836.000000; 73.677039
835.000000; 73.666858
834.000000; 73.755241
833.000000; 73.502510
832.000000; 73.559952
831.000000; 73.534422
830.000000; 73.549926
829.000000; 73.369065
828.000000; 73.294141
827.000000; 73.419868
826.000000; 73.312505
825.000000; 73.396337
824.000000; 73.119800
823.000000; 73.287658
822.000000; 73.400168
821.000000; 73.284272
820.000000; 73.381218
819.000000; 73.034162
818.000000; 72.884923
817.000000; 73.094227
816.000000; 73.218474
815.000000; 73.063101
814.000000; 72.961512
813.000000; 72.900171
812.000000; 72.866320
811.000000; 72.843025
810.000000; 73.023897
809.000000; 73.108705
808.000000; 73.118204
807.000000; 73.149966
806.000000; 73.106607
805.000000; 72.965642
804.000000; 73.083459
803.000000; 73.005120
802.000000; 72.919744
801.000000; 73.022841
800.000000; 72.961523
799.000000; 72.975671
798.000000; 73.131268
797.000000; 73.003456
796.000000; 72.969151
795.000000; 72.853092
794.000000; 72.812930
793.000000; 72.899740
792.000000; 72.902402
791.000000; 72.962224
790.000000; 73.021295
789.000000; 73.049004
788.000000; 72.893808
787.000000; 72.828309
786.000000; 72.917880
785.000000; 72.964290
784.000000; 72.977955
783.000000; 72.999710
782.000000; 73.075176
781.000000; 72.857061
780.000000; 72.662705
779.000000; 72.756398
778.000000; 73.025892
777.000000; 73.039470
776.000000; 72.810338
775.000000; 72.778328
774.000000; 72.825416
773.000000; 72.826373
772.000000; 72.771886
771.000000; 72.801421
770.000000; 72.843002
769.000000; 72.789081
768.000000; 72.795181
767.000000; 72.792275
766.000000; 72.634621
765.000000; 72.747913
764.000000; 72.906325
763.000000; 72.785917
762.000000; 72.722651
761.000000; 72.756446
760.000000; 72.813551
759.000000; 72.892589
758.000000; 72.943786
757.000000; 72.803982
756.000000; 72.783101
755.000000; 72.808351
754.000000; 72.758182
753.000000; 72.776781
752.000000; 72.784410
751.000000; 72.686975
750.000000; 72.588188
749.000000; 72.627114
748.000000; 72.674948
747.000000; 72.697847
746.000000; 72.705055
745.000000; 72.697010
744.000000; 72.647019
743.000000; 72.672030
742.000000; 72.633322
741.000000; 72.570983
740.000000; 72.563985
739.000000; 72.551398
738.000000; 72.501247
737.000000; 72.596992
736.000000; 72.734607
735.000000; 72.582278
734.000000; 72.572266
733.000000; 72.428699
732.000000; 72.442802
731.000000; 72.485410
730.000000; 72.468568
729.000000; 72.495374
728.000000; 72.406323
727.000000; 72.441208
726.000000; 72.477113
725.000000; 72.375333
724.000000; 72.353672
723.000000; 72.400037
722.000000; 72.457317
721.000000; 72.403466
720.000000; 72.478441
719.000000; 72.534537
718.000000; 72.457976
717.000000; 72.354096
716.000000; 72.404732
715.000000; 72.437005
714.000000; 72.355393
713.000000; 72.492762
712.000000; 72.159726
711.000000; 72.189855
710.000000; 72.235051
709.000000; 72.234788
708.000000; 72.152046
707.000000; 72.221191
706.000000; 72.152114
705.000000; 72.102782
704.000000; 72.157927
703.000000; 72.181414
702.000000; 72.153579
701.000000; 72.215028
700.000000; 72.168440
