nm; %T
900.000000; 73.838101
899.000000; 74.166079
898.000000; 74.944575
897.000000; 68.341921
896.000000; 74.136464
895.000000; 72.774639
894.000000; 72.014953
893.000000; 75.540785
892.000000; 76.643082
891.000000; 77.080290
890.000000; 74.813495
889.000000; 75.659084
888.000000; 73.653180
887.000000; 71.645000
886.000000; 74.694275
885.000000; 73.359198
884.000000; 75.627610
883.000000; 73.611528
882.000000; 75.018260
881.000000; 71.689096
880.000000; 73.312863
879.000000; 73.350152
878.000000; 72.741493
877.000000; 73.838907
876.000000; 74.119072
875.000000; 73.564496
874.000000; 73.466666
873.000000; 73.368165
872.000000; 74.141262
871.000000; 74.197493
870.000000; 73.226271
869.000000; 73.257598
868.000000; 74.014587
867.000000; 74.754052
866.000000; 74.840048
865.000000; 74.043010
864.000000; 74.609569
863.000000; 74.232602
862.000000; 74.187762
861.000000; 73.171902
860.000000; 72.990307
859.000000; 73.923561
858.000000; 73.358992
857.000000; 73.849173
856.000000; 73.996505
855.000000; 73.314249
854.000000; 73.167112
853.000000; 73.761626
852.000000; 73.722418
851.000000; 73.382710
850.000000; 73.146813
849.000000; 73.497225
848.000000; 73.475367
847.000000; 73.513378
846.000000; 73.224654
845.000000; 73.415803
844.000000; 73.067657
843.000000; 73.396236
842.000000; 73.317572
841.000000; 73.207458
840.000000; 72.888787
839.000000; 72.969168
838.000000; 72.870069
837.000000; 72.986090
836.000000; 73.089722
835.000000; 72.911400
834.000000; 72.579806
833.000000; 72.552775
832.000000; 72.523943
831.000000; 72.721274
830.000000; 72.692099
829.000000; 72.697846
828.000000; 72.551582
827.000000; 72.398432
826.000000; 72.400879
825.000000; 72.486859
824.000000; 72.259063
823.000000; 72.427635
822.000000; 72.294955
821.000000; 72.410188
820.000000; 72.365055
819.000000; 72.185270
818.000000; 72.099781
817.000000; 72.222306
816.000000; 72.007287
815.000000; 71.939733
814.000000; 72.092871
813.000000; 72.170634
812.000000; 71.959353
811.000000; 71.711610
810.000000; 72.006818
809.000000; 72.155350
808.000000; 72.100957
807.000000; 72.040449
806.000000; 72.049484
805.000000; 71.950229
804.000000; 71.888152
803.000000; 71.933496
802.000000; 71.808615
801.000000; 71.725031
800.000000; 71.727876
799.000000; 71.678990
798.000000; 71.848449
797.000000; 71.851392
796.000000; 71.674749
795.000000; 71.657767
794.000000; 71.683385
793.000000; 71.598509
792.000000; 71.496953
791.000000; 71.636795
790.000000; 71.739138
789.000000; 71.772348
788.000000; 71.679169
787.000000; 71.550754
786.000000; 71.668271
785.000000; 71.821081
784.000000; 71.685900
783.000000; 71.561025
782.000000; 71.515529
781.000000; 71.528378
780.000000; 71.501718
779.000000; 71.502994
778.000000; 71.488895
777.000000; 71.320872
776.000000; 71.238775
775.000000; 71.340107
774.000000; 71.388859
773.000000; 71.314742
772.000000; 71.331701
771.000000; 71.327100
770.000000; 71.268589
769.000000; 71.302635
768.000000; 71.233293
767.000000; 71.187760
766.000000; 71.213199
765.000000; 71.203493
764.000000; 71.197963
763.000000; 71.053293
762.000000; 71.076542
761.000000; 71.028071
760.000000; 70.997644
759.000000; 71.117398
758.000000; 71.097321
757.000000; 71.094267
756.000000; 71.095953
755.000000; 71.106407
754.000000; 70.855220
753.000000; 70.696089
752.000000; 70.729988
751.000000; 70.838141
750.000000; 70.920445
749.000000; 70.828145
748.000000; 70.734794
747.000000; 70.823252
746.000000; 70.730355
745.000000; 70.726401
744.000000; 70.758823
743.000000; 70.730287
742.000000; 70.655421
741.000000; 70.643656
740.000000; 70.631492
739.000000; 70.561080
738.000000; 70.565282
737.000000; 70.628524
736.000000; 70.565143
735.000000; 70.648549
734.000000; 70.528990
733.000000; 70.401917
732.000000; 70.353509
731.000000; 70.369599
730.000000; 70.374159
729.000000; 70.416077
728.000000; 70.367210
727.000000; 70.352762
726.000000; 70.278694
725.000000; 70.258666
724.000000; 70.260065
723.000000; 70.177020
722.000000; 70.214742
721.000000; 70.192455
720.000000; 70.165373
719.000000; 70.094993
718.000000; 70.064055
717.000000; 70.143151
716.000000; 70.189654
715.000000; 70.161612
714.000000; 70.022592
713.000000; 70.046412
712.000000; 70.052372
711.000000; 70.136327
710.000000; 70.089831
709.000000; 69.935395
708.000000; 69.985071
707.000000; 69.953634
706.000000; 69.980092
705.000000; 70.033255
704.000000; 69.915418
703.000000; 69.979995
702.000000; 69.846523
701.000000; 69.924032
700.000000; 69.815980
699.000000; 69.757753
698.000000; 69.755477
697.000000; 69.754917
696.000000; 69.765156
695.000000; 69.794437
694.000000; 69.794379
693.000000; 69.633184
692.000000; 69.677230
691.000000; 69.703077
690.000000; 69.452636
689.000000; 69.451396
688.000000; 69.452148
687.000000; 69.453239
686.000000; 69.312757
685.000000; 69.311928
684.000000; 69.372941
683.000000; 69.314291
682.000000; 69.362775
681.000000; 69.219738
680.000000; 69.255417
679.000000; 69.200036
678.000000; 69.218187
677.000000; 69.144084
676.000000; 69.172255
675.000000; 69.052381
674.000000; 69.120753
673.000000; 69.054081
672.000000; 69.009707
671.000000; 69.024684
670.000000; 68.962303
669.000000; 68.857051
668.000000; 68.862599
667.000000; 68.757773
666.000000; 68.947301
665.000000; 68.812459
664.000000; 68.660834
663.000000; 68.666606
662.000000; 68.625966
661.000000; 68.584410
660.000000; 68.576635
659.000000; 68.533214
658.000000; 68.548138
657.000000; 68.611711
656.000000; 68.432273
655.000000; 68.389511
654.000000; 68.286974
653.000000; 68.278444
652.000000; 68.256985
651.000000; 68.237463
650.000000; 68.131303
649.000000; 68.158901
648.000000; 68.144916
647.000000; 68.050737
646.000000; 68.005330
645.000000; 67.941755
644.000000; 67.834137
643.000000; 67.879850
642.000000; 67.868275
641.000000; 67.803327
640.000000; 67.635689
639.000000; 67.632832
638.000000; 67.665773
637.000000; 67.527154
636.000000; 67.510614
635.000000; 67.480470
634.000000; 67.365424
633.000000; 67.341951
632.000000; 67.225247
631.000000; 67.276330
630.000000; 67.195184
629.000000; 67.064604
628.000000; 67.095512
627.000000; 67.107347
626.000000; 66.909521
625.000000; 66.903407
624.000000; 66.906663
623.000000; 66.789610
622.000000; 66.742171
621.000000; 66.746914
620.000000; 66.700246
619.000000; 66.610830
618.000000; 66.579826
617.000000; 66.449923
616.000000; 66.396699
615.000000; 66.401040
614.000000; 66.300773
613.000000; 66.244743
612.000000; 66.207173
611.000000; 66.111780
610.000000; 66.068294
609.000000; 66.009819
608.000000; 65.954904
607.000000; 65.821756
606.000000; 65.861250
605.000000; 65.807577
604.000000; 65.720993
603.000000; 65.575036
602.000000; 65.512237
601.000000; 65.507422
600.000000; 65.478470
599.000000; 65.410555
598.000000; 65.342215
597.000000; 65.300904
596.000000; 65.268549
595.000000; 65.176200
594.000000; 65.084129
593.000000; 65.008473
592.000000; 64.957069
591.000000; 64.888768
590.000000; 64.900175
589.000000; 64.794777
588.000000; 64.679690
587.000000; 64.640425
586.000000; 64.612696
585.000000; 64.554976
584.000000; 64.474526
583.000000; 64.394147
582.000000; 64.334845
581.000000; 64.267347
580.000000; 64.252406
579.000000; 64.217740
578.000000; 64.090367
577.000000; 64.069799
576.000000; 64.021373
575.000000; 63.914882
574.000000; 63.870228
573.000000; 63.815559
572.000000; 63.745806
571.000000; 63.706337
570.000000; 63.654265
569.000000; 63.579647
568.000000; 63.514343
567.000000; 63.459183
566.000000; 63.389325
565.000000; 63.315615
564.000000; 63.280163
563.000000; 63.217866
562.000000; 63.164221
561.000000; 63.119230
560.000000; 63.076539
559.000000; 63.021972
558.000000; 62.957496
557.000000; 62.877375
556.000000; 62.818374
555.000000; 62.779789
554.000000; 62.744205
553.000000; 62.709234
552.000000; 62.617988
551.000000; 62.513728
550.000000; 62.472674
549.000000; 62.441683
548.000000; 62.386666
547.000000; 62.300241
546.000000; 62.262272
545.000000; 62.251355
544.000000; 62.200510
543.000000; 62.126458
542.000000; 62.046061
541.000000; 62.016447
540.000000; 61.983800
539.000000; 61.926063
538.000000; 61.853261
537.000000; 61.833239
536.000000; 61.766652
535.000000; 61.702909
534.000000; 61.674318
533.000000; 61.634774
532.000000; 61.574776
531.000000; 61.532078
530.000000; 61.465256
529.000000; 61.425007
528.000000; 61.370304
527.000000; 61.316905
526.000000; 61.293190
525.000000; 61.248720
524.000000; 61.177969
523.000000; 61.123782
522.000000; 61.097871
521.000000; 61.039386
520.000000; 60.981011
519.000000; 60.917264
518.000000; 60.862940
517.000000; 60.813274
516.000000; 60.768910
515.000000; 60.724905
514.000000; 60.666077
513.000000; 60.614338
512.000000; 60.559163
511.000000; 60.512697
510.000000; 60.447354
509.000000; 60.386261
508.000000; 60.345767
507.000000; 60.292787
506.000000; 60.241255
505.000000; 60.191646
504.000000; 60.128503
503.000000; 60.069121
502.000000; 60.028338
501.000000; 59.988104
500.000000; 59.913344
499.000000; 59.837324
498.000000; 59.770498
497.000000; 59.712638
496.000000; 59.672479
495.000000; 59.626792
494.000000; 59.568973
493.000000; 59.486751
492.000000; 59.445642
491.000000; 59.378541
490.000000; 59.302915
489.000000; 59.279152
488.000000; 59.228230
487.000000; 59.169629
486.000000; 59.143355
485.000000; 59.066632
484.000000; 59.019374
483.000000; 58.943430
482.000000; 58.865214
481.000000; 58.848538
480.000000; 58.759365
479.000000; 58.719706
478.000000; 58.727305
477.000000; 58.673189
476.000000; 58.601012
475.000000; 58.516600
474.000000; 58.426641
473.000000; 58.427327
472.000000; 58.377151
471.000000; 58.308700
470.000000; 58.249290
469.000000; 58.229319
468.000000; 58.209966
467.000000; 58.147302
466.000000; 58.048595
465.000000; 57.992075
464.000000; 57.958999
463.000000; 57.861122
462.000000; 57.789813
461.000000; 57.723514
460.000000; 57.690647
459.000000; 57.621259
458.000000; 57.520283
457.000000; 57.466040
456.000000; 57.390535
455.000000; 57.296327
454.000000; 57.238475
453.000000; 57.110834
452.000000; 57.075112
451.000000; 56.976597
450.000000; 56.926288
449.000000; 56.867177
448.000000; 56.778665
447.000000; 56.613386
446.000000; 56.586556
445.000000; 56.543381
444.000000; 56.388124
443.000000; 56.303295
442.000000; 56.220263
441.000000; 56.158592
440.000000; 56.022238
439.000000; 55.952481
438.000000; 55.828277
437.000000; 55.764673
436.000000; 55.694986
435.000000; 55.594547
434.000000; 55.502081
433.000000; 55.367363
432.000000; 55.228864
431.000000; 55.136216
430.000000; 55.043883
429.000000; 54.965578
428.000000; 54.920510
427.000000; 54.825027
426.000000; 54.588134
425.000000; 54.544613
424.000000; 54.465601
423.000000; 54.275468
422.000000; 54.157030
421.000000; 54.035665
420.000000; 53.904869
419.000000; 53.830520
418.000000; 53.687714
417.000000; 53.542008
416.000000; 53.429518
415.000000; 53.264060
414.000000; 53.094542
413.000000; 52.890265
412.000000; 52.898157
411.000000; 52.624466
410.000000; 52.505783
409.000000; 52.349247
408.000000; 52.221662
