nm; %T
900.000000; 65.573984
899.000000; 69.935682
898.000000; 68.659484
897.000000; 59.136510
896.000000; 71.395751
895.000000; 65.113494
894.000000; 66.369103
893.000000; 67.794662
892.000000; 68.086959
891.000000; 65.956339
890.000000; 65.094383
889.000000; 64.196566
888.000000; 65.757193
887.000000; 66.366941
886.000000; 64.924439
885.000000; 64.432450
884.000000; 66.787300
883.000000; 64.893161
882.000000; 64.658174
881.000000; 65.128115
880.000000; 64.511874
879.000000; 64.707008
878.000000; 65.114965
877.000000; 64.661593
876.000000; 65.176674
875.000000; 65.601364
874.000000; 62.888822
873.000000; 64.689122
872.000000; 63.864756
871.000000; 63.604064
870.000000; 62.965593
869.000000; 62.327231
868.000000; 63.393106
867.000000; 63.130703
866.000000; 63.191092
865.000000; 62.723965
864.000000; 62.610373
863.000000; 62.919024
862.000000; 62.545057
861.000000; 61.460884
860.000000; 60.854285
859.000000; 61.975703
858.000000; 62.103922
857.000000; 61.497834
856.000000; 61.486745
855.000000; 61.272065
854.000000; 60.898226
853.000000; 60.331895
852.000000; 60.323845
851.000000; 59.940353
850.000000; 60.216274
849.000000; 60.273768
848.000000; 60.086817
847.000000; 59.658467
846.000000; 59.536288
845.000000; 59.172815
844.000000; 58.993367
843.000000; 58.700159
842.000000; 58.519441
841.000000; 58.338709
840.000000; 58.166842
839.000000; 58.132878
838.000000; 57.647629
837.000000; 57.463932
836.000000; 57.517941
835.000000; 57.570198
834.000000; 56.938059
833.000000; 56.783668
832.000000; 56.681638
831.000000; 56.530086
830.000000; 56.338998
829.000000; 56.299037
828.000000; 56.186634
827.000000; 55.658415
826.000000; 55.404559
825.000000; 55.227111
824.000000; 55.030354
823.000000; 54.779314
822.000000; 54.855946
821.000000; 54.821164
820.000000; 54.287084
819.000000; 54.332817
818.000000; 54.199134
817.000000; 53.766511
816.000000; 53.586186
815.000000; 53.338651
814.000000; 53.216469
813.000000; 53.253867
812.000000; 52.887437
811.000000; 52.623415
810.000000; 52.695411
809.000000; 52.514647
808.000000; 52.293951
807.000000; 52.026706
806.000000; 51.924603
805.000000; 51.743814
804.000000; 51.594067
803.000000; 51.456372
802.000000; 51.184604
801.000000; 51.065641
800.000000; 50.814344
799.000000; 50.589960
798.000000; 50.548987
797.000000; 50.292380
796.000000; 49.970851
795.000000; 49.836758
794.000000; 49.695803
