nm; %T
900.000000; 113.598300
899.000000; 110.377200
898.000000; 116.143900
897.000000; 114.598900
896.000000; 116.221300
895.000000; 114.804600
894.000000; 114.073500
893.000000; 110.478400
892.000000; 113.704200
891.000000; 112.670600
890.000000; 117.189600
889.000000; 113.211900
888.000000; 111.415500
887.000000; 112.973900
886.000000; 110.074900
885.000000; 117.291000
884.000000; 111.945600
883.000000; 111.950100
882.000000; 112.900300
881.000000; 113.676700
880.000000; 115.904000
879.000000; 114.575300
878.000000; 113.299300
877.000000; 119.079300
876.000000; 114.140900
875.000000; 113.454500
874.000000; 115.946100
873.000000; 117.068900
872.000000; 116.897800
871.000000; 113.454900
870.000000; 115.104800
869.000000; 116.018300
868.000000; 116.837700
867.000000; 115.699900
866.000000; 115.728600
865.000000; 115.501700
864.000000; 115.650900
863.000000; 115.845200
862.000000; 116.853200
861.000000; 116.704900
860.000000; 116.933700
859.000000; 116.911200
858.000000; 117.049800
857.000000; 117.370800
856.000000; 117.296200
855.000000; 117.597100
854.000000; 117.623100
853.000000; 117.684900
852.000000; 117.805900
851.000000; 117.133200
850.000000; 117.369600
849.000000; 118.065900
848.000000; 118.249200
847.000000; 118.346200
846.000000; 118.338900
845.000000; 118.030700
844.000000; 118.396800
843.000000; 118.884200
842.000000; 118.750000
841.000000; 118.305700
840.000000; 118.483000
839.000000; 118.740500
838.000000; 118.869100
837.000000; 118.864600
836.000000; 118.875200
835.000000; 118.621800
834.000000; 118.933200
833.000000; 118.927600
832.000000; 119.135300
831.000000; 119.240500
830.000000; 119.129400
829.000000; 119.246900
828.000000; 119.200500
827.000000; 119.087800
826.000000; 119.317000
825.000000; 119.376700
824.000000; 119.523800
823.000000; 119.596900
822.000000; 119.417000
821.000000; 119.343400
820.000000; 119.377400
819.000000; 119.557900
818.000000; 119.480300
817.000000; 119.486500
816.000000; 119.604100
815.000000; 119.588900
814.000000; 119.249300
813.000000; 119.384000
812.000000; 119.406000
811.000000; 119.470500
810.000000; 119.276600
809.000000; 119.317300
808.000000; 119.267900
807.000000; 119.334700
806.000000; 119.294000
805.000000; 119.147600
804.000000; 119.106400
803.000000; 119.055300
802.000000; 119.112800
801.000000; 119.184800
800.000000; 119.318500
799.000000; 119.320800
798.000000; 119.004800
797.000000; 119.201000
796.000000; 119.283200
795.000000; 118.967400
794.000000; 118.969000
793.000000; 118.876000
792.000000; 118.796700
791.000000; 118.758200
790.000000; 118.788000
789.000000; 118.695700
788.000000; 118.529700
787.000000; 118.633600
786.000000; 118.667900
785.000000; 118.776600
784.000000; 118.847400
783.000000; 118.795700
782.000000; 118.679800
781.000000; 118.566900
780.000000; 118.530800
779.000000; 118.483600
778.000000; 118.365600
777.000000; 118.297300
776.000000; 118.431200
775.000000; 118.299100
774.000000; 118.065200
773.000000; 118.010800
772.000000; 118.107600
771.000000; 118.155100
770.000000; 118.081500
769.000000; 117.963200
768.000000; 117.862800
767.000000; 117.829500
766.000000; 117.919100
765.000000; 117.783600
764.000000; 117.766200
763.000000; 117.902600
762.000000; 117.851900
761.000000; 117.724700
760.000000; 117.652300
759.000000; 117.528000
758.000000; 117.509300
757.000000; 117.475300
756.000000; 117.366500
755.000000; 117.541000
754.000000; 117.430600
753.000000; 117.349400
752.000000; 117.265200
751.000000; 117.137800
750.000000; 117.130200
749.000000; 117.127700
748.000000; 117.033400
747.000000; 116.973100
746.000000; 116.967600
745.000000; 116.949000
744.000000; 116.905200
743.000000; 116.849900
742.000000; 116.888800
741.000000; 116.928300
740.000000; 116.874100
739.000000; 116.908700
738.000000; 116.874400
737.000000; 116.689700
736.000000; 116.607400
735.000000; 116.665900
734.000000; 116.657800
733.000000; 116.660800
732.000000; 116.614400
731.000000; 116.443700
730.000000; 116.500800
729.000000; 116.405500
728.000000; 116.374800
727.000000; 116.343900
726.000000; 116.391300
725.000000; 116.294000
724.000000; 116.199600
723.000000; 116.226000
722.000000; 116.098300
721.000000; 116.054800
720.000000; 116.014500
719.000000; 115.917700
718.000000; 115.966800
717.000000; 115.987600
716.000000; 115.855300
715.000000; 115.900100
714.000000; 115.912900
713.000000; 115.890600
712.000000; 115.799500
711.000000; 115.860300
710.000000; 115.806800
709.000000; 115.700500
708.000000; 115.711700
707.000000; 115.579700
706.000000; 115.572900
705.000000; 115.608000
704.000000; 115.531100
703.000000; 115.670100
702.000000; 115.603700
701.000000; 115.495500
700.000000; 115.493100
699.000000; 115.451900
698.000000; 115.393000
697.000000; 115.449200
696.000000; 115.398100
695.000000; 115.374500
694.000000; 115.323600
693.000000; 115.364200
692.000000; 115.211000
691.000000; 115.242300
690.000000; 115.312900
689.000000; 115.441300
688.000000; 115.386400
687.000000; 115.308500
686.000000; 115.395600
685.000000; 115.238100
684.000000; 115.260000
683.000000; 115.289300
682.000000; 115.174000
681.000000; 115.198000
680.000000; 115.113600
679.000000; 115.199200
678.000000; 115.078200
677.000000; 114.981900
676.000000; 115.127000
675.000000; 114.958000
674.000000; 115.010000
673.000000; 115.052600
672.000000; 115.029300
671.000000; 114.864300
670.000000; 114.908600
669.000000; 114.913100
668.000000; 114.985100
667.000000; 114.978900
666.000000; 114.906700
665.000000; 114.914600
664.000000; 114.782100
663.000000; 114.812600
662.000000; 114.844200
661.000000; 114.830400
660.000000; 114.848000
659.000000; 114.781000
658.000000; 114.838000
657.000000; 114.741300
656.000000; 114.681500
655.000000; 114.718900
654.000000; 114.691800
653.000000; 114.690600
652.000000; 114.745500
651.000000; 114.752400
