nm; %T
900.000000; 76.911450
899.000000; 81.381028
898.000000; 73.303807
897.000000; 79.865252
896.000000; 73.356949
895.000000; 73.010489
894.000000; 76.492875
893.000000; 76.059393
892.000000; 78.218219
891.000000; 76.195742
890.000000; 72.781885
889.000000; 75.168246
888.000000; 80.063815
887.000000; 75.889829
886.000000; 80.150970
885.000000; 72.040395
884.000000; 76.618643
883.000000; 75.930258
882.000000; 75.500419
881.000000; 74.562685
880.000000; 74.307444
879.000000; 75.535565
878.000000; 77.169762
877.000000; 72.448780
876.000000; 75.417664
875.000000; 77.557523
874.000000; 74.162822
873.000000; 74.597950
872.000000; 74.213544
871.000000; 77.286305
870.000000; 75.646281
869.000000; 75.134612
868.000000; 74.833979
867.000000; 75.348293
866.000000; 74.317584
865.000000; 75.207811
864.000000; 74.830114
863.000000; 75.435150
862.000000; 75.032776
861.000000; 75.007390
860.000000; 74.544036
859.000000; 74.384661
858.000000; 74.693848
857.000000; 74.294629
856.000000; 74.811631
855.000000; 75.072770
854.000000; 74.684479
853.000000; 75.022624
852.000000; 74.860003
851.000000; 75.087593
850.000000; 74.706142
849.000000; 74.591478
848.000000; 74.738180
847.000000; 74.715284
846.000000; 74.768990
845.000000; 75.071401
844.000000; 74.765703
843.000000; 74.228451
842.000000; 74.108042
841.000000; 74.366070
840.000000; 74.388393
839.000000; 74.306323
838.000000; 74.150305
837.000000; 74.325157
836.000000; 74.270832
835.000000; 74.147332
834.000000; 74.119085
833.000000; 74.008304
832.000000; 73.985292
831.000000; 73.788688
830.000000; 73.812258
829.000000; 73.827915
828.000000; 73.920915
827.000000; 73.939564
826.000000; 73.811695
825.000000; 73.781064
824.000000; 73.586097
823.000000; 73.557007
822.000000; 73.581818
821.000000; 73.793440
820.000000; 73.751146
819.000000; 73.697765
818.000000; 73.840206
817.000000; 73.520105
816.000000; 73.358438
815.000000; 73.515519
814.000000; 73.693095
813.000000; 73.537995
812.000000; 73.452423
811.000000; 73.399291
810.000000; 73.443911
809.000000; 73.493953
808.000000; 73.617126
807.000000; 73.474354
806.000000; 73.363287
805.000000; 73.454438
804.000000; 73.389339
803.000000; 73.405300
802.000000; 73.337290
801.000000; 73.313627
800.000000; 73.349062
799.000000; 73.250598
798.000000; 73.285699
797.000000; 73.178916
796.000000; 73.198237
795.000000; 73.353120
794.000000; 73.176037
793.000000; 73.260204
792.000000; 73.427376
791.000000; 73.348872
790.000000; 73.186349
789.000000; 73.253201
788.000000; 73.366422
787.000000; 73.154570
786.000000; 73.100813
785.000000; 73.043680
784.000000; 72.958264
783.000000; 72.993299
782.000000; 73.049415
781.000000; 73.029151
780.000000; 72.979006
779.000000; 73.069944
778.000000; 73.072075
777.000000; 72.988394
776.000000; 72.998585
775.000000; 73.066152
774.000000; 73.181344
773.000000; 73.169574
772.000000; 72.980486
771.000000; 72.989147
770.000000; 72.952918
769.000000; 72.997596
768.000000; 73.071402
767.000000; 73.010918
766.000000; 72.969943
765.000000; 72.972044
764.000000; 72.867682
763.000000; 72.760397
762.000000; 72.736290
761.000000; 72.790077
760.000000; 72.843880
759.000000; 72.932918
758.000000; 72.889125
757.000000; 72.817775
756.000000; 72.825636
755.000000; 72.762525
754.000000; 72.755057
753.000000; 72.684820
752.000000; 72.651136
751.000000; 72.783593
750.000000; 72.865580
749.000000; 72.823423
748.000000; 72.688908
747.000000; 72.635247
746.000000; 72.694575
745.000000; 72.669540
744.000000; 72.702155
743.000000; 72.607508
742.000000; 72.516785
741.000000; 72.543430
740.000000; 72.697972
739.000000; 72.607342
738.000000; 72.445377
737.000000; 72.481033
736.000000; 72.513322
735.000000; 72.501134
734.000000; 72.443420
733.000000; 72.421756
732.000000; 72.407867
731.000000; 72.525693
730.000000; 72.422679
729.000000; 72.436440
728.000000; 72.384313
727.000000; 72.275727
726.000000; 72.264851
725.000000; 72.414742
724.000000; 72.427616
723.000000; 72.298023
722.000000; 72.362817
721.000000; 72.339964
720.000000; 72.346560
719.000000; 72.315186
718.000000; 72.279911
717.000000; 72.256517
716.000000; 72.329967
715.000000; 72.272932
714.000000; 72.230097
713.000000; 72.157190
712.000000; 72.182781
711.000000; 72.104595
710.000000; 72.096630
709.000000; 72.119049
708.000000; 72.078882
707.000000; 72.209047
706.000000; 72.173234
705.000000; 72.049945
704.000000; 72.058433
703.000000; 71.987748
702.000000; 71.986018
701.000000; 71.969817
700.000000; 71.969148
699.000000; 71.983224
698.000000; 71.974383
697.000000; 71.875162
696.000000; 71.904303
695.000000; 71.899597
694.000000; 71.882772
693.000000; 71.885039
692.000000; 71.905113
691.000000; 71.905975
690.000000; 71.633182
689.000000; 71.627832
688.000000; 71.632272
687.000000; 71.705555
686.000000; 71.574479
685.000000; 71.651650
684.000000; 71.582075
683.000000; 71.560067
682.000000; 71.592547
681.000000; 71.528933
680.000000; 71.540808
679.000000; 71.451885
678.000000; 71.529795
677.000000; 71.574396
676.000000; 71.454828
675.000000; 71.462012
674.000000; 71.424746
673.000000; 71.402298
672.000000; 71.335738
671.000000; 71.400513
670.000000; 71.416500
669.000000; 71.407699
668.000000; 71.241752
667.000000; 71.158969
666.000000; 71.278263
665.000000; 71.189910
664.000000; 71.288816
663.000000; 71.246274
662.000000; 71.181740
661.000000; 71.157028
660.000000; 71.090659
659.000000; 71.037628
658.000000; 70.994096
657.000000; 71.077197
656.000000; 71.147046
655.000000; 70.981939
654.000000; 70.970287
653.000000; 70.929614
652.000000; 70.970191
651.000000; 70.859869
650.000000; 70.963887
649.000000; 70.887462
648.000000; 70.879119
647.000000; 70.852723
646.000000; 70.813720
645.000000; 70.858494
644.000000; 70.822484
643.000000; 70.768195
642.000000; 70.698227
641.000000; 70.726734
640.000000; 70.738031
639.000000; 70.734464
638.000000; 70.646323
637.000000; 70.630247
636.000000; 70.562366
635.000000; 70.500648
634.000000; 70.540449
633.000000; 70.531946
632.000000; 70.430646
631.000000; 70.553611
630.000000; 70.416236
629.000000; 70.496621
628.000000; 70.382684
627.000000; 70.448953
626.000000; 70.348438
625.000000; 70.370299
624.000000; 70.279070
623.000000; 70.293924
622.000000; 70.279800
621.000000; 70.276097
620.000000; 70.246248
619.000000; 70.203414
618.000000; 70.121662
617.000000; 70.175598
616.000000; 70.139183
615.000000; 70.075288
614.000000; 70.019193
613.000000; 70.030003
612.000000; 70.012152
611.000000; 70.023586
610.000000; 69.966447
609.000000; 69.960263
608.000000; 69.919374
607.000000; 69.852949
606.000000; 69.852344
605.000000; 69.876059
604.000000; 69.766800
603.000000; 69.773324
602.000000; 69.739387
601.000000; 69.707518
600.000000; 69.688485
599.000000; 69.662349
598.000000; 69.664193
597.000000; 69.633457
596.000000; 69.587158
595.000000; 69.526140
594.000000; 69.497930
593.000000; 69.490638
592.000000; 69.470471
591.000000; 69.419552
590.000000; 69.344556
589.000000; 69.373235
588.000000; 69.319942
587.000000; 69.297446
586.000000; 69.241062
585.000000; 69.238669
584.000000; 69.228988
583.000000; 69.166404
582.000000; 69.144612
581.000000; 69.103232
580.000000; 69.096474
579.000000; 69.034542
578.000000; 69.049846
577.000000; 68.980881
576.000000; 68.985599
575.000000; 68.956470
574.000000; 68.915421
573.000000; 68.898853
572.000000; 68.861774
571.000000; 68.813219
570.000000; 68.745890
569.000000; 68.713212
568.000000; 68.732173
567.000000; 68.712593
566.000000; 68.668436
565.000000; 68.685507
564.000000; 68.678908
563.000000; 68.619246
562.000000; 68.601111
561.000000; 68.490269
560.000000; 68.487707
559.000000; 68.478144
558.000000; 68.410833
557.000000; 68.380443
556.000000; 68.336955
555.000000; 68.357118
554.000000; 68.345869
553.000000; 68.292021
552.000000; 68.278804
551.000000; 68.236871
550.000000; 68.229342
549.000000; 68.181221
548.000000; 68.140623
547.000000; 68.064826
546.000000; 68.020170
545.000000; 68.043735
544.000000; 68.003419
543.000000; 67.959804
542.000000; 67.935577
541.000000; 67.906677
540.000000; 67.892996
539.000000; 67.837107
538.000000; 67.768851
537.000000; 67.740983
536.000000; 67.705150
535.000000; 67.703765
534.000000; 67.653172
533.000000; 67.600982
532.000000; 67.585638
531.000000; 67.576930
530.000000; 67.558631
529.000000; 67.508738
528.000000; 67.455320
527.000000; 67.447748
526.000000; 67.453339
525.000000; 67.399861
524.000000; 67.326038
523.000000; 67.290993
522.000000; 67.264933
521.000000; 67.231662
520.000000; 67.199136
519.000000; 67.165240
518.000000; 67.117547
517.000000; 67.099266
516.000000; 67.092918
515.000000; 67.042543
514.000000; 67.024900
513.000000; 67.005631
512.000000; 66.953827
511.000000; 66.911075
510.000000; 66.865013
509.000000; 66.845897
508.000000; 66.840207
507.000000; 66.810997
506.000000; 66.763687
