nm; %T
900.000000; 66.395355
899.000000; 65.317421
898.000000; 64.697613
897.000000; 66.460341
896.000000; 66.629040
895.000000; 68.048674
894.000000; 66.957422
893.000000; 65.801725
892.000000; 65.394815
891.000000; 68.072142
890.000000; 67.402232
889.000000; 68.275909
888.000000; 65.804218
887.000000; 67.106699
886.000000; 67.983649
885.000000; 66.425066
884.000000; 67.794661
883.000000; 66.132822
882.000000; 67.341743
881.000000; 66.689497
880.000000; 66.687806
879.000000; 66.555690
878.000000; 66.177606
877.000000; 66.536568
876.000000; 65.646811
875.000000; 66.798857
874.000000; 66.222426
873.000000; 66.293036
872.000000; 65.697767
871.000000; 66.222352
870.000000; 66.713818
869.000000; 66.102323
868.000000; 66.215346
867.000000; 66.199477
866.000000; 66.076209
865.000000; 66.297801
864.000000; 65.916150
863.000000; 65.739608
862.000000; 66.014029
861.000000; 65.511696
860.000000; 64.824897
859.000000; 65.310351
858.000000; 65.489716
857.000000; 64.890871
856.000000; 65.243146
855.000000; 65.166425
854.000000; 65.066437
853.000000; 65.081259
852.000000; 64.710977
851.000000; 65.185448
850.000000; 64.641345
849.000000; 64.184344
848.000000; 64.553174
847.000000; 64.302688
846.000000; 64.363986
845.000000; 64.381070
844.000000; 63.854801
843.000000; 63.492404
842.000000; 63.696931
841.000000; 63.585245
840.000000; 63.196922
839.000000; 63.442232
838.000000; 63.379002
837.000000; 63.297230
836.000000; 63.186706
835.000000; 63.026909
834.000000; 63.127548
833.000000; 62.916210
832.000000; 62.898505
831.000000; 62.673542
830.000000; 62.613077
829.000000; 62.216904
828.000000; 61.959602
827.000000; 61.942511
826.000000; 61.999187
825.000000; 62.022046
824.000000; 61.834098
823.000000; 61.667730
822.000000; 61.454738
821.000000; 61.447457
820.000000; 61.442962
819.000000; 61.492272
818.000000; 61.275593
817.000000; 60.942742
816.000000; 60.915852
815.000000; 60.903690
814.000000; 60.644417
813.000000; 60.595270
812.000000; 60.603419
811.000000; 60.463117
810.000000; 60.350668
809.000000; 60.416252
808.000000; 60.415333
807.000000; 60.247914
806.000000; 59.998642
805.000000; 59.974323
804.000000; 60.101529
803.000000; 60.007746
802.000000; 59.720782
801.000000; 59.658290
800.000000; 59.642027
799.000000; 59.612489
798.000000; 59.448096
797.000000; 59.422228
796.000000; 59.263338
795.000000; 59.074168
794.000000; 59.007809
793.000000; 58.800001
792.000000; 58.668965
791.000000; 58.763877
790.000000; 58.757322
789.000000; 58.520480
788.000000; 58.291227
787.000000; 58.236856
786.000000; 58.319995
785.000000; 58.254464
784.000000; 57.892476
783.000000; 57.773189
782.000000; 57.858507
781.000000; 57.743175
780.000000; 57.541151
779.000000; 57.513689
778.000000; 57.434925
777.000000; 57.316202
776.000000; 57.246793
775.000000; 57.146336
774.000000; 57.038721
773.000000; 56.935180
772.000000; 56.770201
771.000000; 56.685879
770.000000; 56.619883
769.000000; 56.477937
768.000000; 56.428440
767.000000; 56.317669
766.000000; 56.240702
765.000000; 56.141248
764.000000; 56.017674
763.000000; 56.041089
762.000000; 55.972455
761.000000; 55.778858
760.000000; 55.602459
759.000000; 55.572330
758.000000; 55.490522
757.000000; 55.364542
756.000000; 55.295733
755.000000; 55.180435
754.000000; 55.080836
753.000000; 54.977148
752.000000; 54.902284
751.000000; 54.853295
750.000000; 54.734997
749.000000; 54.618789
748.000000; 54.519752
747.000000; 54.497095
746.000000; 54.432931
745.000000; 54.321454
744.000000; 54.340788
743.000000; 54.229016
742.000000; 54.084828
741.000000; 53.978673
740.000000; 53.973314
739.000000; 53.847195
738.000000; 53.708428
737.000000; 53.618435
736.000000; 53.620069
735.000000; 53.531624
734.000000; 53.403776
733.000000; 53.417875
732.000000; 53.296290
731.000000; 53.239889
730.000000; 53.304473
729.000000; 53.203658
728.000000; 53.129235
727.000000; 52.994326
726.000000; 52.923401
725.000000; 52.879099
724.000000; 52.837967
723.000000; 52.799298
722.000000; 52.781705
721.000000; 52.686036
720.000000; 52.694761
719.000000; 52.629805
718.000000; 52.606978
717.000000; 52.526977
716.000000; 52.533247
715.000000; 52.453528
714.000000; 52.384293
713.000000; 52.300005
712.000000; 52.140851
711.000000; 52.153766
710.000000; 52.187622
709.000000; 52.130006
708.000000; 52.191109
707.000000; 52.103210
706.000000; 51.973861
705.000000; 51.988285
704.000000; 51.929181
703.000000; 51.843960
702.000000; 51.795785
701.000000; 51.749581
700.000000; 51.705421
699.000000; 51.671824
698.000000; 51.619331
697.000000; 51.544426
696.000000; 51.466642
695.000000; 51.425429
694.000000; 51.365025
693.000000; 51.297444
692.000000; 51.232635
691.000000; 51.135296
690.000000; 51.003505
689.000000; 50.920383
688.000000; 50.852674
687.000000; 50.778480
686.000000; 50.641363
685.000000; 50.593416
684.000000; 50.434331
683.000000; 50.423424
682.000000; 50.295961
681.000000; 50.224363
680.000000; 50.158869
679.000000; 50.032567
678.000000; 49.829893
677.000000; 49.770165
676.000000; 49.633267
675.000000; 49.501649
674.000000; 49.386792
673.000000; 49.257697
672.000000; 49.172219
671.000000; 48.971575
670.000000; 48.766683
669.000000; 48.632684
668.000000; 48.548258
667.000000; 48.362306
666.000000; 48.125929
665.000000; 48.092571
664.000000; 47.913420
663.000000; 47.767724
662.000000; 47.585758
661.000000; 47.373566
660.000000; 47.207974
659.000000; 47.078708
658.000000; 46.846450
657.000000; 46.631324
656.000000; 46.522983
655.000000; 46.261847
654.000000; 46.100964
653.000000; 45.799441
652.000000; 45.615272
651.000000; 45.337464
650.000000; 45.222684
649.000000; 44.997418
648.000000; 44.726579
647.000000; 44.482289
646.000000; 44.295861
645.000000; 44.046411
644.000000; 43.850976
643.000000; 43.599884
642.000000; 43.355559
641.000000; 43.152513
640.000000; 42.892581
639.000000; 42.651987
638.000000; 42.416535
637.000000; 42.180965
636.000000; 41.905323
635.000000; 41.638932
634.000000; 41.395705
633.000000; 41.173035
632.000000; 40.928080
631.000000; 40.640464
630.000000; 40.406110
629.000000; 40.181955
628.000000; 39.902581
627.000000; 39.635056
626.000000; 39.334496
625.000000; 39.138642
624.000000; 38.866535
623.000000; 38.612881
622.000000; 38.362261
621.000000; 38.080207
620.000000; 37.843739
619.000000; 37.557631
618.000000; 37.316639
617.000000; 37.061276
616.000000; 36.780768
615.000000; 36.505426
614.000000; 36.299416
613.000000; 36.012829
612.000000; 35.742973
611.000000; 35.540935
610.000000; 35.265590
609.000000; 35.004888
608.000000; 34.755801
607.000000; 34.465311
606.000000; 34.257644
605.000000; 33.971495
604.000000; 33.704076
603.000000; 33.480716
602.000000; 33.262065
601.000000; 32.985201
600.000000; 32.755678
599.000000; 32.485978
598.000000; 32.287208
597.000000; 32.044931
596.000000; 31.799597
595.000000; 31.583339
594.000000; 31.328258
593.000000; 31.057303
592.000000; 30.835489
591.000000; 30.634780
590.000000; 30.440416
589.000000; 30.159052
588.000000; 29.934183
587.000000; 29.691957
586.000000; 29.508914
585.000000; 29.315406
584.000000; 29.063189
583.000000; 28.858137
582.000000; 28.640979
581.000000; 28.424940
580.000000; 28.228021
579.000000; 28.056786
578.000000; 27.820751
577.000000; 27.614904
576.000000; 27.407114
575.000000; 27.223459
574.000000; 27.036687
573.000000; 26.840006
572.000000; 26.651235
571.000000; 26.467256
570.000000; 26.263200
569.000000; 26.068928
568.000000; 25.912311
567.000000; 25.756322
566.000000; 25.568660
565.000000; 25.409039
564.000000; 25.237574
563.000000; 25.066210
562.000000; 24.895949
561.000000; 24.716593
560.000000; 24.551806
559.000000; 24.415320
558.000000; 24.243929
557.000000; 24.064279
556.000000; 23.923934
555.000000; 23.777992
554.000000; 23.633933
553.000000; 23.486690
552.000000; 23.338776
551.000000; 23.208458
550.000000; 23.045005
549.000000; 22.910213
548.000000; 22.781044
547.000000; 22.646741
546.000000; 22.511744
545.000000; 22.374172
544.000000; 22.265275
543.000000; 22.141348
542.000000; 21.999865
541.000000; 21.890000
540.000000; 21.785826
539.000000; 21.678809
538.000000; 21.566872
537.000000; 21.462913
536.000000; 21.355301
535.000000; 21.254234
534.000000; 21.139379
533.000000; 21.041190
532.000000; 20.933891
531.000000; 20.844449
530.000000; 20.750725
529.000000; 20.645791
528.000000; 20.563645
527.000000; 20.477015
526.000000; 20.386081
525.000000; 20.299168
524.000000; 20.213609
523.000000; 20.128376
522.000000; 20.055791
521.000000; 19.976024
520.000000; 19.888888
519.000000; 19.812030
518.000000; 19.746143
517.000000; 19.672187
516.000000; 19.604087
515.000000; 19.539190
514.000000; 19.468637
513.000000; 19.406443
512.000000; 19.348191
511.000000; 19.286989
510.000000; 19.224083
509.000000; 19.165151
508.000000; 19.121126
507.000000; 19.087384
506.000000; 19.030867
505.000000; 18.968064
504.000000; 18.921383
503.000000; 18.866549
502.000000; 18.808408
501.000000; 18.782571
500.000000; 18.748871
499.000000; 18.696508
498.000000; 18.652096
497.000000; 18.610642
496.000000; 18.556851
495.000000; 18.509967
494.000000; 18.471149
493.000000; 18.427407
492.000000; 18.394004
491.000000; 18.349126
490.000000; 18.301694
489.000000; 18.254603
488.000000; 18.215221
487.000000; 18.179224
486.000000; 18.160859
485.000000; 18.110337
484.000000; 18.082598
483.000000; 18.045558
482.000000; 18.008189
481.000000; 17.959741
480.000000; 17.917234
479.000000; 17.897393
478.000000; 17.870474
477.000000; 17.843190
476.000000; 17.817354
475.000000; 17.806539
474.000000; 17.780958
473.000000; 17.745042
472.000000; 17.724298
471.000000; 17.688148
470.000000; 17.657734
469.000000; 17.634694
468.000000; 17.613900
467.000000; 17.590452
466.000000; 17.578620
465.000000; 17.544010
464.000000; 17.528796
463.000000; 17.493538
462.000000; 17.475642
461.000000; 17.470630
460.000000; 17.445465
459.000000; 17.424004
458.000000; 17.376975
457.000000; 17.361281
456.000000; 17.343272
455.000000; 17.321285
454.000000; 17.290542
453.000000; 17.252199
452.000000; 17.195199
451.000000; 17.192044
450.000000; 17.152647
449.000000; 17.114247
448.000000; 17.100678
447.000000; 17.047047
446.000000; 17.037602
445.000000; 17.013260
444.000000; 16.970237
443.000000; 16.911243
442.000000; 16.890097
441.000000; 16.870746
440.000000; 16.854923
439.000000; 16.838624
438.000000; 16.768295
437.000000; 16.750416
436.000000; 16.718517
435.000000; 16.673671
434.000000; 16.652625
433.000000; 16.604522
432.000000; 16.576543
431.000000; 16.538769
430.000000; 16.536586
429.000000; 16.509982
428.000000; 16.461595
427.000000; 16.463148
426.000000; 16.401732
425.000000; 16.351793
424.000000; 16.316279
423.000000; 16.315916
422.000000; 16.243925
421.000000; 16.227135
420.000000; 16.192134
419.000000; 16.159365
418.000000; 16.132614
417.000000; 16.097627
416.000000; 16.095034
415.000000; 16.076722
414.000000; 16.021840
413.000000; 15.980255
412.000000; 15.945031
411.000000; 15.923687
410.000000; 15.905466
409.000000; 15.840551
408.000000; 15.817699
407.000000; 15.813273
406.000000; 15.782307
405.000000; 15.730103
404.000000; 15.706759
403.000000; 15.661926
402.000000; 15.626452
401.000000; 15.601765
400.000000; 15.585760
399.000000; 15.550933
398.000000; 15.515073
397.000000; 15.480726
396.000000; 15.468896
395.000000; 15.404516
394.000000; 15.370470
393.000000; 15.374580
392.000000; 15.368070
391.000000; 15.318842
390.000000; 15.276326
389.000000; 15.235838
388.000000; 15.215458
387.000000; 15.170380
386.000000; 15.155882
385.000000; 15.073887
384.000000; 15.049866
383.000000; 15.003761
382.000000; 14.972749
381.000000; 14.933303
380.000000; 14.835967
379.000000; 14.756762
378.000000; 14.556771
377.000000; 14.542008
376.000000; 14.399157
375.000000; 14.260369
374.000000; 14.205117
373.000000; 14.162518
372.000000; 13.928063
371.000000; 13.807464
370.000000; 13.578085
369.000000; 13.376468
368.000000; 13.085550
367.000000; 12.692667
366.000000; 12.359242
365.000000; 11.905359
364.000000; 11.432408
363.000000; 10.811631
362.000000; 10.193578
361.000000; 9.485007
360.000000; 8.722227
359.000000; 7.919796
358.000000; 7.074932
357.000000; 6.146950
356.000000; 5.248767
355.000000; 4.368715
354.000000; 3.509754
353.000000; 2.696482
352.000000; 2.012276
351.000000; 1.415602
350.000000; 0.957788
349.000000; 0.607331
348.000000; 0.354259
347.000000; 0.197651
346.000000; 0.097449
345.000000; 0.052667
344.000000; 0.025102
343.000000; 0.020278
342.000000; 0.013249
341.000000; 0.015095
340.000000; 0.013834
339.000000; 0.007463
338.000000; 0.009406
337.000000; 0.012996
336.000000; 0.019307
335.000000; 0.015544
334.000000; 0.017880
333.000000; 0.020808
332.000000; 0.018189
331.000000; 0.014894
330.000000; 0.023359
329.000000; 0.027108
328.000000; 0.025579
327.000000; 0.032852
326.000000; 0.029049
325.000000; 0.027414
