nm; %T
900.000000; 71.083020
899.000000; 75.348161
898.000000; 70.703559
897.000000; 76.470346
896.000000; 72.918329
895.000000; 70.952282
894.000000; 71.661301
893.000000; 68.826910
892.000000; 74.768253
891.000000; 75.055961
890.000000; 72.211886
889.000000; 71.758625
888.000000; 75.470685
887.000000; 77.957774
886.000000; 75.344271
885.000000; 74.417690
884.000000; 74.837557
883.000000; 74.359825
882.000000; 74.302301
881.000000; 72.937917
880.000000; 74.604546
879.000000; 75.444767
878.000000; 74.220501
877.000000; 73.579485
876.000000; 75.305875
875.000000; 73.450242
874.000000; 74.359369
873.000000; 73.664180
872.000000; 74.585398
871.000000; 73.201427
870.000000; 74.032972
869.000000; 73.606804
868.000000; 75.865970
867.000000; 73.566342
866.000000; 74.630275
865.000000; 72.499521
864.000000; 74.163260
863.000000; 73.743162
862.000000; 73.375003
861.000000; 74.296037
860.000000; 72.388175
859.000000; 73.943911
858.000000; 73.465928
857.000000; 73.288705
856.000000; 73.681586
855.000000; 73.677921
854.000000; 73.565974
853.000000; 73.280372
852.000000; 73.718819
851.000000; 73.973079
850.000000; 73.517029
849.000000; 73.488429
848.000000; 73.192433
847.000000; 73.391353
846.000000; 73.383158
845.000000; 73.478658
844.000000; 73.149625
843.000000; 73.012680
842.000000; 73.190878
841.000000; 73.342223
840.000000; 73.191618
839.000000; 73.186967
838.000000; 73.207696
837.000000; 73.192229
836.000000; 72.862709
835.000000; 72.828978
834.000000; 72.637263
833.000000; 72.707646
832.000000; 72.595168
831.000000; 72.666454
830.000000; 72.749852
829.000000; 72.650149
828.000000; 72.401978
827.000000; 72.642768
826.000000; 72.601525
825.000000; 72.589632
824.000000; 72.366544
823.000000; 72.323697
822.000000; 72.260498
821.000000; 72.354508
820.000000; 72.435365
819.000000; 72.358107
818.000000; 72.393854
817.000000; 72.357675
816.000000; 72.291731
815.000000; 72.356160
814.000000; 72.304848
813.000000; 72.189037
812.000000; 72.159118
811.000000; 72.184237
810.000000; 72.046914
809.000000; 71.940260
808.000000; 72.037045
807.000000; 72.163685
806.000000; 72.250996
805.000000; 72.139384
804.000000; 72.048055
803.000000; 71.966731
802.000000; 71.920529
801.000000; 72.149317
800.000000; 72.237784
799.000000; 72.089693
798.000000; 71.840037
797.000000; 72.023425
796.000000; 72.067091
795.000000; 72.089670
794.000000; 72.079717
793.000000; 72.088258
792.000000; 72.054678
791.000000; 71.989687
790.000000; 71.956272
789.000000; 72.062594
788.000000; 72.086563
787.000000; 72.038899
786.000000; 72.131233
785.000000; 72.067592
784.000000; 71.975879
783.000000; 71.855870
782.000000; 71.845881
781.000000; 71.879265
780.000000; 71.831805
779.000000; 71.651008
778.000000; 71.702392
777.000000; 71.840446
776.000000; 71.763867
775.000000; 71.764537
774.000000; 71.847333
773.000000; 71.840744
772.000000; 71.630411
771.000000; 71.635488
770.000000; 71.844099
769.000000; 71.725313
768.000000; 71.656446
767.000000; 71.590553
766.000000; 71.608637
765.000000; 71.624306
764.000000; 71.442500
763.000000; 71.574437
762.000000; 71.613601
761.000000; 71.577926
760.000000; 71.611769
759.000000; 71.520840
758.000000; 71.591619
757.000000; 71.623204
756.000000; 71.561842
755.000000; 71.468726
754.000000; 71.508632
753.000000; 71.522084
752.000000; 71.519374
751.000000; 71.539886
750.000000; 71.435574
749.000000; 71.311839
748.000000; 71.422518
747.000000; 71.430989
746.000000; 71.345213
745.000000; 71.259908
744.000000; 71.263718
743.000000; 71.242265
742.000000; 71.264873
741.000000; 71.306958
740.000000; 71.317621
739.000000; 71.266339
738.000000; 71.187328
737.000000; 71.138902
736.000000; 71.200441
735.000000; 71.158008
734.000000; 71.165667
733.000000; 71.131561
732.000000; 71.023439
731.000000; 71.108995
730.000000; 71.203083
729.000000; 71.095367
728.000000; 71.026327
727.000000; 71.014868
726.000000; 71.070987
725.000000; 71.042983
724.000000; 71.046549
723.000000; 71.022710
722.000000; 70.963299
721.000000; 70.914236
720.000000; 70.846534
719.000000; 70.852911
718.000000; 70.803758
717.000000; 70.765881
716.000000; 70.793527
715.000000; 70.797879
714.000000; 70.811305
713.000000; 70.780510
712.000000; 70.758177
711.000000; 70.720211
710.000000; 70.654113
709.000000; 70.734812
708.000000; 70.768677
707.000000; 70.710675
706.000000; 70.641880
705.000000; 70.519971
704.000000; 70.522863
703.000000; 70.511713
702.000000; 70.606085
701.000000; 70.627769
700.000000; 70.648058
699.000000; 70.539705
698.000000; 70.472472
697.000000; 70.446101
696.000000; 70.441933
695.000000; 70.462010
694.000000; 70.424872
693.000000; 70.419943
692.000000; 70.410626
691.000000; 70.313294
690.000000; 70.254364
689.000000; 70.233639
688.000000; 70.225587
687.000000; 70.229610
686.000000; 70.123867
685.000000; 70.197177
684.000000; 70.167007
683.000000; 70.139789
682.000000; 70.106345
681.000000; 70.017369
680.000000; 70.023559
679.000000; 70.039479
678.000000; 69.995563
677.000000; 70.043945
676.000000; 69.962709
675.000000; 70.058665
674.000000; 70.001975
673.000000; 69.985053
672.000000; 69.876534
671.000000; 69.862995
670.000000; 69.937937
669.000000; 69.840144
668.000000; 69.828059
667.000000; 69.775952
666.000000; 69.829158
665.000000; 69.759723
664.000000; 69.821596
663.000000; 69.720030
662.000000; 69.682972
661.000000; 69.564680
660.000000; 69.593735
659.000000; 69.650371
658.000000; 69.587481
657.000000; 69.509827
656.000000; 69.455405
655.000000; 69.435267
654.000000; 69.388010
653.000000; 69.395398
652.000000; 69.360025
651.000000; 69.399440
650.000000; 69.356692
649.000000; 69.335867
648.000000; 69.366865
647.000000; 69.262990
646.000000; 69.315921
645.000000; 69.196115
644.000000; 69.312010
643.000000; 69.279377
642.000000; 69.172111
641.000000; 69.102311
640.000000; 69.132194
639.000000; 69.102411
638.000000; 69.187382
637.000000; 69.108103
636.000000; 68.948663
635.000000; 69.030956
634.000000; 68.883920
633.000000; 68.916611
632.000000; 68.935938
631.000000; 68.844979
630.000000; 68.812150
629.000000; 68.823360
628.000000; 68.708134
627.000000; 68.743600
626.000000; 68.708394
625.000000; 68.659834
624.000000; 68.612297
623.000000; 68.691836
622.000000; 68.579860
621.000000; 68.529945
620.000000; 68.595250
619.000000; 68.539801
618.000000; 68.472940
617.000000; 68.466704
616.000000; 68.407726
615.000000; 68.320505
614.000000; 68.303771
613.000000; 68.303120
612.000000; 68.259949
611.000000; 68.248048
610.000000; 68.205389
609.000000; 68.179408
608.000000; 68.173018
607.000000; 68.144360
606.000000; 68.132879
605.000000; 68.121829
604.000000; 68.026396
603.000000; 68.038545
602.000000; 67.916407
601.000000; 67.917615
600.000000; 67.851376
599.000000; 67.824100
598.000000; 67.793705
597.000000; 67.788106
596.000000; 67.735278
595.000000; 67.701292
594.000000; 67.631733
593.000000; 67.645206
592.000000; 67.627157
591.000000; 67.645246
590.000000; 67.547291
589.000000; 67.490449
588.000000; 67.453681
587.000000; 67.422038
586.000000; 67.371512
585.000000; 67.303713
584.000000; 67.322715
583.000000; 67.331854
582.000000; 67.305011
581.000000; 67.226839
580.000000; 67.198658
579.000000; 67.197607
578.000000; 67.160981
577.000000; 67.064256
576.000000; 67.009365
575.000000; 67.017047
574.000000; 66.972510
573.000000; 66.888017
572.000000; 66.854866
571.000000; 66.875922
570.000000; 66.841058
569.000000; 66.794924
568.000000; 66.796362
567.000000; 66.720785
566.000000; 66.671934
565.000000; 66.630354
564.000000; 66.594639
563.000000; 66.587083
562.000000; 66.545001
561.000000; 66.537472
560.000000; 66.487004
559.000000; 66.456559
558.000000; 66.380866
557.000000; 66.361559
556.000000; 66.349320
555.000000; 66.276000
554.000000; 66.268090
553.000000; 66.252255
552.000000; 66.174821
551.000000; 66.128119
550.000000; 66.112347
549.000000; 66.148693
548.000000; 66.058829
547.000000; 66.030997
546.000000; 65.983412
545.000000; 65.928870
544.000000; 65.913821
543.000000; 65.871409
542.000000; 65.815781
541.000000; 65.759816
540.000000; 65.732061
539.000000; 65.714318
538.000000; 65.689659
537.000000; 65.654806
536.000000; 65.626756
535.000000; 65.574358
534.000000; 65.515453
533.000000; 65.489272
532.000000; 65.464461
531.000000; 65.420110
530.000000; 65.374953
529.000000; 65.333974
528.000000; 65.286536
527.000000; 65.259676
526.000000; 65.230102
525.000000; 65.185642
524.000000; 65.138922
523.000000; 65.078155
522.000000; 65.048230
521.000000; 65.031566
520.000000; 64.994491
519.000000; 64.941847
518.000000; 64.891490
517.000000; 64.839990
516.000000; 64.821540
515.000000; 64.778485
514.000000; 64.731635
513.000000; 64.719987
512.000000; 64.673251
511.000000; 64.627026
510.000000; 64.585715
509.000000; 64.529010
508.000000; 64.484598
507.000000; 64.441006
506.000000; 64.404393
505.000000; 64.368930
504.000000; 64.350359
503.000000; 64.335106
502.000000; 64.273844
501.000000; 64.223986
500.000000; 64.188977
499.000000; 64.142798
498.000000; 64.094418
497.000000; 64.069466
496.000000; 64.015959
495.000000; 63.957510
494.000000; 63.906368
493.000000; 63.851399
492.000000; 63.811222
491.000000; 63.796057
490.000000; 63.739517
489.000000; 63.692670
488.000000; 63.656264
487.000000; 63.613351
486.000000; 63.567671
485.000000; 63.489180
484.000000; 63.413525
483.000000; 63.385018
482.000000; 63.343344
481.000000; 63.307273
480.000000; 63.250800
479.000000; 63.173626
478.000000; 63.118083
477.000000; 63.065492
476.000000; 63.029687
475.000000; 62.988884
474.000000; 62.907712
473.000000; 62.866920
472.000000; 62.840336
471.000000; 62.745310
470.000000; 62.677367
469.000000; 62.612987
468.000000; 62.560389
467.000000; 62.499692
466.000000; 62.426553
465.000000; 62.389762
464.000000; 62.335915
463.000000; 62.267549
462.000000; 62.185775
461.000000; 62.189048
460.000000; 62.073222
459.000000; 61.975398
458.000000; 61.951221
457.000000; 61.917379
456.000000; 61.847494
455.000000; 61.757326
454.000000; 61.711742
453.000000; 61.591961
452.000000; 61.534144
451.000000; 61.470394
450.000000; 61.441237
449.000000; 61.332106
448.000000; 61.275402
447.000000; 61.248850
446.000000; 61.148226
445.000000; 61.026303
444.000000; 60.926846
443.000000; 60.869877
442.000000; 60.738144
441.000000; 60.703645
440.000000; 60.657507
439.000000; 60.514535
438.000000; 60.384004
437.000000; 60.348542
436.000000; 60.239813
435.000000; 60.117808
434.000000; 60.028923
433.000000; 59.937295
432.000000; 59.885422
431.000000; 59.683962
430.000000; 59.687770
429.000000; 59.594211
428.000000; 59.461188
427.000000; 59.364050
426.000000; 59.189157
425.000000; 59.108208
424.000000; 59.044245
423.000000; 58.942662
422.000000; 58.851615
421.000000; 58.670122
420.000000; 58.564685
419.000000; 58.416395
418.000000; 58.298028
417.000000; 58.085847
416.000000; 57.972615
415.000000; 57.880865
414.000000; 57.667023
413.000000; 57.539377
412.000000; 57.422228
411.000000; 57.295220
410.000000; 57.099996
409.000000; 56.910953
408.000000; 56.759335
407.000000; 56.648677
406.000000; 56.456585
405.000000; 56.277880
404.000000; 55.992270
403.000000; 55.899576
402.000000; 55.707574
401.000000; 55.455558
400.000000; 55.267499
399.000000; 55.075849
398.000000; 54.899583
397.000000; 54.535565
396.000000; 54.386855
395.000000; 54.260114
394.000000; 53.954382
393.000000; 53.737964
392.000000; 53.512055
391.000000; 53.216357
390.000000; 53.012222
389.000000; 52.700298
388.000000; 52.489214
387.000000; 52.124829
386.000000; 51.871015
385.000000; 51.609849
384.000000; 51.284517
383.000000; 51.004168
382.000000; 50.651576
381.000000; 50.344429
380.000000; 50.012765
379.000000; 49.433162
378.000000; 49.133398
377.000000; 48.747316
376.000000; 48.201918
375.000000; 47.868801
374.000000; 47.526028
373.000000; 46.813602
372.000000; 46.445457
371.000000; 45.681227
370.000000; 44.934645
369.000000; 44.199356
368.000000; 43.372781
367.000000; 42.344107
366.000000; 41.238404
365.000000; 40.013672
364.000000; 38.568821
363.000000; 36.957468
362.000000; 35.331288
361.000000; 33.392434
360.000000; 31.319330
359.000000; 29.104090
358.000000; 26.676864
357.000000; 24.093808
356.000000; 21.345703
355.000000; 18.657833
354.000000; 15.849495
353.000000; 13.135602
352.000000; 10.561355
351.000000; 8.188633
350.000000; 6.096797
349.000000; 4.339229
348.000000; 2.907411
347.000000; 1.839224
346.000000; 1.063656
345.000000; 0.584551
344.000000; 0.302927
343.000000; 0.129731
342.000000; 0.059102
341.000000; 0.044235
340.000000; 0.033907
339.000000; 0.020908
338.000000; 0.012466
337.000000; 0.029505
336.000000; 0.025546
335.000000; 0.015693
334.000000; 0.025950
333.000000; 0.028416
332.000000; 0.017392
331.000000; 0.014174
330.000000; 0.023860
329.000000; 0.027110
328.000000; 0.030552
327.000000; 0.023654
326.000000; 0.042205
325.000000; 0.046309
