nm; %T
900.000000; 79.189213
899.000000; 74.339719
898.000000; 75.389495
897.000000; 73.126967
896.000000; 72.988772
895.000000; 69.258113
894.000000; 74.038405
893.000000; 77.048364
892.000000; 72.419225
891.000000; 74.049397
890.000000; 70.401469
889.000000; 71.270246
888.000000; 73.708236
887.000000; 75.304561
886.000000; 72.752190
885.000000; 72.043379
884.000000; 76.518952
883.000000; 73.390734
882.000000; 72.025849
881.000000; 71.424927
880.000000; 71.464660
879.000000; 73.190819
878.000000; 73.274327
877.000000; 70.675760
876.000000; 72.454133
875.000000; 73.770366
874.000000; 72.078405
873.000000; 71.521899
872.000000; 72.374074
871.000000; 74.858821
870.000000; 73.466094
869.000000; 72.732664
868.000000; 72.260238
867.000000; 72.331437
866.000000; 72.635114
865.000000; 73.258749
864.000000; 72.917807
863.000000; 72.735944
862.000000; 72.403751
861.000000; 72.183773
860.000000; 71.883469
859.000000; 72.243121
858.000000; 71.673339
857.000000; 72.108651
856.000000; 72.347527
855.000000; 71.990211
854.000000; 71.757758
853.000000; 71.744548
852.000000; 71.881374
851.000000; 72.323731
850.000000; 71.995900
849.000000; 71.671668
848.000000; 71.828055
847.000000; 71.678516
846.000000; 71.747160
845.000000; 71.876131
844.000000; 71.613253
843.000000; 71.306195
842.000000; 71.505179
841.000000; 71.904735
840.000000; 71.730966
839.000000; 71.276607
838.000000; 71.338809
837.000000; 71.225663
836.000000; 71.253045
835.000000; 71.338574
834.000000; 71.133544
833.000000; 71.250576
832.000000; 71.117964
831.000000; 71.136820
830.000000; 71.121402
829.000000; 70.982810
828.000000; 70.877387
827.000000; 71.015923
826.000000; 70.787734
825.000000; 70.892729
824.000000; 70.846392
823.000000; 70.705595
822.000000; 70.801058
821.000000; 70.798134
820.000000; 70.684652
819.000000; 70.459083
818.000000; 70.499907
817.000000; 70.653421
816.000000; 70.662879
815.000000; 70.586150
814.000000; 70.700792
813.000000; 70.725977
812.000000; 70.565466
811.000000; 70.408427
810.000000; 70.477110
809.000000; 70.488270
808.000000; 70.577247
807.000000; 70.586175
806.000000; 70.555434
805.000000; 70.623244
804.000000; 70.546251
803.000000; 70.566031
802.000000; 70.604083
801.000000; 70.489358
800.000000; 70.263371
799.000000; 70.252295
798.000000; 70.522618
797.000000; 70.296390
796.000000; 70.220450
795.000000; 70.473592
794.000000; 70.391110
793.000000; 70.477556
792.000000; 70.476621
791.000000; 70.458124
790.000000; 70.406270
789.000000; 70.309455
788.000000; 70.311829
787.000000; 70.332182
786.000000; 70.233905
785.000000; 70.168535
784.000000; 70.181089
783.000000; 70.121393
782.000000; 70.082356
781.000000; 70.130703
780.000000; 70.147253
779.000000; 70.049273
778.000000; 70.070612
777.000000; 70.217494
776.000000; 70.095127
775.000000; 70.109494
774.000000; 70.233820
773.000000; 70.161545
772.000000; 70.070851
771.000000; 69.989615
770.000000; 69.964728
769.000000; 70.033027
768.000000; 70.098963
767.000000; 70.068361
766.000000; 69.905384
765.000000; 69.960079
764.000000; 69.926855
763.000000; 69.833405
762.000000; 69.812027
761.000000; 69.825788
760.000000; 69.849548
759.000000; 69.936611
758.000000; 69.956506
757.000000; 69.844129
756.000000; 69.710607
755.000000; 69.682068
754.000000; 69.739318
753.000000; 69.792517
752.000000; 69.799565
751.000000; 69.770988
750.000000; 69.794041
749.000000; 69.699311
748.000000; 69.714885
747.000000; 69.771597
746.000000; 69.747691
745.000000; 69.663700
744.000000; 69.687661
743.000000; 69.701985
742.000000; 69.620699
741.000000; 69.507809
740.000000; 69.520878
739.000000; 69.529642
738.000000; 69.496656
737.000000; 69.533558
736.000000; 69.568912
735.000000; 69.450628
734.000000; 69.422876
733.000000; 69.421262
732.000000; 69.376595
731.000000; 69.415520
730.000000; 69.356777
729.000000; 69.378595
728.000000; 69.383750
727.000000; 69.329376
726.000000; 69.281896
725.000000; 69.303403
724.000000; 69.314438
723.000000; 69.257739
722.000000; 69.329611
721.000000; 69.313721
720.000000; 69.215745
719.000000; 69.271820
718.000000; 69.254476
717.000000; 69.183258
716.000000; 69.184750
715.000000; 69.121338
714.000000; 69.120262
713.000000; 69.017504
712.000000; 69.060229
711.000000; 69.030893
710.000000; 69.046982
709.000000; 69.055708
708.000000; 68.968739
707.000000; 69.099591
706.000000; 68.995154
705.000000; 68.959588
704.000000; 68.870633
703.000000; 68.757959
702.000000; 68.815877
701.000000; 68.954635
700.000000; 68.857620
699.000000; 68.779552
698.000000; 68.818213
697.000000; 68.798744
696.000000; 68.739087
695.000000; 68.718738
694.000000; 68.757826
693.000000; 68.602825
692.000000; 68.688493
691.000000; 68.646148
690.000000; 68.545757
689.000000; 68.487361
688.000000; 68.507554
687.000000; 68.526518
686.000000; 68.434845
685.000000; 68.427022
684.000000; 68.384782
683.000000; 68.379633
682.000000; 68.490111
681.000000; 68.359954
680.000000; 68.355260
679.000000; 68.243095
678.000000; 68.348480
677.000000; 68.424161
676.000000; 68.218229
675.000000; 68.333826
674.000000; 68.217894
673.000000; 68.222882
672.000000; 68.161590
671.000000; 68.192467
670.000000; 68.191328
669.000000; 68.115472
668.000000; 68.025335
667.000000; 68.084666
666.000000; 68.070356
665.000000; 68.044182
664.000000; 68.040052
663.000000; 68.009522
662.000000; 68.017192
661.000000; 67.966584
660.000000; 67.859170
659.000000; 67.911065
658.000000; 67.851843
657.000000; 67.795554
656.000000; 67.862994
655.000000; 67.805305
654.000000; 67.789764
653.000000; 67.768413
652.000000; 67.743484
651.000000; 67.665426
650.000000; 67.740514
649.000000; 67.714315
648.000000; 67.668364
647.000000; 67.659930
646.000000; 67.565176
645.000000; 67.551280
644.000000; 67.576502
643.000000; 67.546008
642.000000; 67.479146
641.000000; 67.512911
640.000000; 67.537068
639.000000; 67.447194
638.000000; 67.493941
637.000000; 67.410424
636.000000; 67.395323
635.000000; 67.369459
634.000000; 67.399003
633.000000; 67.314261
632.000000; 67.244217
631.000000; 67.237227
630.000000; 67.182062
629.000000; 67.252737
628.000000; 67.133865
627.000000; 67.221961
626.000000; 67.115682
625.000000; 67.177507
624.000000; 67.099049
623.000000; 67.136363
622.000000; 67.032645
621.000000; 67.037492
620.000000; 67.004165
619.000000; 66.965839
618.000000; 66.927292
617.000000; 66.963127
616.000000; 66.844399
615.000000; 66.820032
614.000000; 66.786300
613.000000; 66.747030
612.000000; 66.804488
611.000000; 66.794583
610.000000; 66.781021
609.000000; 66.749263
608.000000; 66.695655
607.000000; 66.635757
606.000000; 66.630409
605.000000; 66.620019
604.000000; 66.573805
603.000000; 66.507609
602.000000; 66.529674
601.000000; 66.463450
600.000000; 66.436665
599.000000; 66.380237
598.000000; 66.402135
597.000000; 66.379495
596.000000; 66.324715
595.000000; 66.277843
594.000000; 66.275866
593.000000; 66.290589
592.000000; 66.268279
591.000000; 66.222667
590.000000; 66.212933
589.000000; 66.149397
588.000000; 66.068145
587.000000; 66.033320
586.000000; 66.061066
585.000000; 66.018419
584.000000; 66.030671
583.000000; 65.940614
582.000000; 65.948543
581.000000; 65.897913
580.000000; 65.924410
579.000000; 65.848773
578.000000; 65.829207
577.000000; 65.718747
576.000000; 65.754702
575.000000; 65.761491
574.000000; 65.700504
573.000000; 65.632746
572.000000; 65.608596
571.000000; 65.541557
570.000000; 65.476957
569.000000; 65.473947
568.000000; 65.448174
567.000000; 65.430246
566.000000; 65.446450
565.000000; 65.416002
564.000000; 65.348695
563.000000; 65.269209
562.000000; 65.269166
561.000000; 65.235523
560.000000; 65.232162
559.000000; 65.194613
558.000000; 65.141210
557.000000; 65.143605
556.000000; 65.074913
555.000000; 65.039890
554.000000; 65.020237
553.000000; 64.943754
552.000000; 64.945809
551.000000; 64.925390
550.000000; 64.879451
549.000000; 64.847707
548.000000; 64.825119
547.000000; 64.766403
546.000000; 64.720847
545.000000; 64.718841
544.000000; 64.663769
543.000000; 64.633482
542.000000; 64.594030
541.000000; 64.530370
540.000000; 64.511310
539.000000; 64.470929
538.000000; 64.387627
537.000000; 64.367871
536.000000; 64.393657
535.000000; 64.356284
534.000000; 64.285434
533.000000; 64.258027
532.000000; 64.211160
531.000000; 64.145729
530.000000; 64.113213
529.000000; 64.094161
528.000000; 64.039188
527.000000; 63.986629
526.000000; 63.988034
525.000000; 63.942389
524.000000; 63.865406
523.000000; 63.836837
522.000000; 63.807686
521.000000; 63.737574
520.000000; 63.681612
519.000000; 63.654339
518.000000; 63.619611
517.000000; 63.582015
516.000000; 63.531799
515.000000; 63.472215
514.000000; 63.429921
513.000000; 63.377917
512.000000; 63.328114
511.000000; 63.299404
510.000000; 63.246301
509.000000; 63.173093
508.000000; 63.129167
507.000000; 63.097912
506.000000; 63.050909
505.000000; 62.999721
504.000000; 62.941403
503.000000; 62.875607
502.000000; 62.807773
501.000000; 62.773095
500.000000; 62.744772
499.000000; 62.735071
498.000000; 62.691849
497.000000; 62.639271
496.000000; 62.591475
495.000000; 62.505274
494.000000; 62.479848
493.000000; 62.421343
492.000000; 62.429489
491.000000; 62.381171
490.000000; 62.284345
489.000000; 62.273582
488.000000; 62.212593
487.000000; 62.150684
486.000000; 62.091583
485.000000; 62.025568
484.000000; 61.988112
483.000000; 61.957945
482.000000; 61.876737
481.000000; 61.844559
480.000000; 61.753471
479.000000; 61.673500
478.000000; 61.625632
477.000000; 61.531141
476.000000; 61.457957
475.000000; 61.392264
474.000000; 61.308440
473.000000; 61.248354
472.000000; 61.203339
471.000000; 61.147980
470.000000; 61.051695
469.000000; 60.989420
468.000000; 60.932239
467.000000; 60.843120
466.000000; 60.742172
465.000000; 60.686715
464.000000; 60.626021
463.000000; 60.535734
462.000000; 60.473035
461.000000; 60.378153
460.000000; 60.337853
459.000000; 60.256245
458.000000; 60.149315
457.000000; 60.105242
456.000000; 59.989051
455.000000; 59.951379
454.000000; 59.858864
453.000000; 59.794669
452.000000; 59.676098
451.000000; 59.590119
450.000000; 59.557653
449.000000; 59.437413
448.000000; 59.312114
447.000000; 59.219005
446.000000; 59.144454
445.000000; 59.030083
444.000000; 58.908288
443.000000; 58.838521
442.000000; 58.758893
441.000000; 58.615138
440.000000; 58.520074
439.000000; 58.412570
438.000000; 58.268570
437.000000; 58.145217
436.000000; 58.016911
435.000000; 57.845180
434.000000; 57.797591
433.000000; 57.596457
432.000000; 57.440498
431.000000; 57.344188
430.000000; 57.238947
429.000000; 57.078149
428.000000; 56.953210
427.000000; 56.768246
426.000000; 56.632155
425.000000; 56.475866
424.000000; 56.278541
423.000000; 56.107571
422.000000; 55.919017
421.000000; 55.774326
420.000000; 55.578369
419.000000; 55.390817
418.000000; 55.148386
417.000000; 54.936538
416.000000; 54.742031
415.000000; 54.593193
414.000000; 54.344060
413.000000; 54.154486
412.000000; 53.870795
411.000000; 53.620777
410.000000; 53.476082
409.000000; 53.076995
408.000000; 52.911387
407.000000; 52.655594
406.000000; 52.425718
405.000000; 52.133248
404.000000; 51.834488
403.000000; 51.543996
402.000000; 51.217873
401.000000; 50.868012
400.000000; 50.626164
399.000000; 50.328476
398.000000; 49.951647
397.000000; 49.593305
396.000000; 49.345768
395.000000; 48.884339
394.000000; 48.538088
393.000000; 48.224656
392.000000; 47.776205
391.000000; 47.399325
390.000000; 46.978363
389.000000; 46.675949
388.000000; 46.221412
387.000000; 45.882314
386.000000; 45.418727
385.000000; 45.108124
384.000000; 44.714624
383.000000; 44.294060
382.000000; 43.837662
381.000000; 43.398392
380.000000; 43.104637
379.000000; 42.502807
378.000000; 42.052199
377.000000; 41.649697
376.000000; 41.184290
375.000000; 40.728161
374.000000; 40.228591
373.000000; 39.815388
372.000000; 39.162269
371.000000; 38.580297
370.000000; 37.943290
369.000000; 37.299504
368.000000; 36.449517
367.000000; 35.573246
366.000000; 34.566317
365.000000; 33.497833
364.000000; 32.197680
363.000000; 30.873189
362.000000; 29.295754
361.000000; 27.648891
360.000000; 25.821432
359.000000; 23.815515
358.000000; 21.753463
357.000000; 19.491174
356.000000; 17.120183
355.000000; 14.674116
354.000000; 12.275130
353.000000; 9.932301
352.000000; 7.789264
351.000000; 5.816615
350.000000; 4.161045
349.000000; 2.811331
348.000000; 1.803978
347.000000; 1.044980
346.000000; 0.565271
345.000000; 0.286625
344.000000; 0.130725
343.000000; 0.069979
342.000000; 0.036945
341.000000; 0.030794
340.000000; 0.031295
339.000000; 0.031603
338.000000; 0.026355
337.000000; 0.030662
336.000000; 0.028604
335.000000; 0.029202
334.000000; 0.031380
333.000000; 0.028195
332.000000; 0.030243
331.000000; 0.029568
330.000000; 0.038979
329.000000; 0.041018
328.000000; 0.040901
327.000000; 0.030545
326.000000; 0.041102
325.000000; 0.047014
