nm; %T
900.000000; 116.172700
899.000000; 113.409600
898.000000; 113.758000
897.000000; 114.832100
896.000000; 113.522400
895.000000; 111.587500
894.000000; 112.385800
893.000000; 110.186400
892.000000; 112.706000
891.000000; 113.130700
890.000000; 112.639100
889.000000; 113.997200
888.000000; 112.372900
887.000000; 113.245800
886.000000; 114.351300
885.000000; 116.057500
884.000000; 117.070600
883.000000; 116.271400
882.000000; 114.633200
881.000000; 114.280500
880.000000; 113.303900
879.000000; 114.581400
878.000000; 116.239200
877.000000; 114.732100
876.000000; 115.310900
875.000000; 114.607800
874.000000; 114.762400
873.000000; 115.535100
872.000000; 116.146400
871.000000; 115.560000
870.000000; 115.956700
869.000000; 115.117900
868.000000; 115.538400
867.000000; 115.814400
866.000000; 117.913600
865.000000; 116.671500
864.000000; 116.149200
863.000000; 116.954300
862.000000; 116.713000
861.000000; 116.183000
860.000000; 117.471500
859.000000; 117.263000
858.000000; 117.531500
857.000000; 116.820200
856.000000; 116.911400
855.000000; 117.501700
854.000000; 117.493900
853.000000; 117.918100
852.000000; 117.656500
851.000000; 117.900200
850.000000; 118.018100
849.000000; 117.834100
848.000000; 117.685900
847.000000; 117.928600
846.000000; 118.409500
845.000000; 118.211700
844.000000; 118.283400
843.000000; 118.335200
842.000000; 118.274800
841.000000; 118.680800
840.000000; 118.677500
839.000000; 118.844300
838.000000; 119.031400
837.000000; 118.967000
836.000000; 119.140000
835.000000; 119.256900
834.000000; 119.206900
833.000000; 119.347900
832.000000; 119.058000
831.000000; 119.270500
830.000000; 119.415700
829.000000; 119.283600
828.000000; 119.390400
827.000000; 119.578800
826.000000; 119.574100
825.000000; 119.651600
824.000000; 119.601100
823.000000; 119.421100
822.000000; 119.457700
821.000000; 119.503200
820.000000; 119.783800
819.000000; 119.659000
818.000000; 119.604500
817.000000; 119.531300
816.000000; 119.428300
815.000000; 119.289900
814.000000; 119.368600
813.000000; 119.647300
812.000000; 119.378400
811.000000; 119.355100
810.000000; 119.411300
809.000000; 119.431500
808.000000; 119.498700
807.000000; 119.409700
806.000000; 119.272700
805.000000; 119.553500
804.000000; 119.636000
803.000000; 119.470300
802.000000; 119.389800
801.000000; 119.276900
800.000000; 119.221800
799.000000; 119.090900
798.000000; 119.072600
797.000000; 118.996300
796.000000; 118.986100
795.000000; 119.007300
794.000000; 119.008400
793.000000; 119.089800
792.000000; 118.986300
791.000000; 119.103400
790.000000; 118.991000
789.000000; 118.822600
788.000000; 118.814100
787.000000; 118.800500
786.000000; 118.618300
785.000000; 118.666800
784.000000; 118.592300
783.000000; 118.416200
782.000000; 118.425500
781.000000; 118.440600
780.000000; 118.447600
779.000000; 118.516000
778.000000; 118.492300
777.000000; 118.440600
776.000000; 118.326500
775.000000; 118.301100
774.000000; 118.219800
773.000000; 118.087600
772.000000; 117.983300
771.000000; 118.040000
770.000000; 118.081200
769.000000; 118.020900
768.000000; 117.993700
767.000000; 117.917700
766.000000; 118.008200
765.000000; 117.954700
764.000000; 117.797300
763.000000; 117.809000
762.000000; 117.810700
761.000000; 117.860900
760.000000; 117.785800
759.000000; 117.601500
758.000000; 117.553700
757.000000; 117.457900
756.000000; 117.424400
755.000000; 117.596900
754.000000; 117.455600
753.000000; 117.293900
752.000000; 117.377000
751.000000; 117.268700
750.000000; 117.166200
749.000000; 117.175500
748.000000; 117.194400
747.000000; 117.110900
746.000000; 117.224800
745.000000; 117.109700
744.000000; 117.067200
743.000000; 117.143000
742.000000; 117.016800
741.000000; 116.858600
740.000000; 116.903100
739.000000; 116.837100
738.000000; 116.824800
737.000000; 116.839100
736.000000; 116.721700
735.000000; 116.651600
734.000000; 116.635100
733.000000; 116.441700
732.000000; 116.535400
731.000000; 116.598800
730.000000; 116.477900
729.000000; 116.472000
728.000000; 116.298600
727.000000; 116.347700
