nm; %T
900.000000; 69.506691
899.000000; 76.386743
898.000000; 72.037659
897.000000; 72.353462
896.000000; 72.082866
895.000000; 71.679534
894.000000; 74.724743
893.000000; 78.331718
892.000000; 72.466595
891.000000; 74.044711
890.000000; 74.203008
889.000000; 74.793591
888.000000; 75.894544
887.000000; 72.216276
886.000000; 72.133854
885.000000; 71.276738
884.000000; 70.814022
883.000000; 73.418743
882.000000; 72.632710
881.000000; 72.753357
880.000000; 74.269553
879.000000; 72.581065
878.000000; 71.970471
877.000000; 72.930767
876.000000; 72.643263
875.000000; 73.022779
874.000000; 73.747935
873.000000; 72.821766
872.000000; 71.932406
871.000000; 72.441329
870.000000; 71.890628
869.000000; 74.040180
868.000000; 73.210984
867.000000; 73.203419
866.000000; 71.398465
865.000000; 72.409543
864.000000; 72.391114
863.000000; 72.271904
862.000000; 72.218433
861.000000; 72.485820
860.000000; 71.270649
859.000000; 72.415681
858.000000; 71.703501
857.000000; 72.251203
856.000000; 72.220588
855.000000; 72.209083
854.000000; 72.210557
853.000000; 71.502509
852.000000; 71.570716
851.000000; 71.634993
850.000000; 71.636978
849.000000; 71.689095
848.000000; 71.584022
847.000000; 71.543205
846.000000; 71.278065
845.000000; 71.476850
844.000000; 71.221744
843.000000; 71.352227
842.000000; 71.369387
841.000000; 71.019407
840.000000; 71.086179
839.000000; 70.863390
838.000000; 70.707225
837.000000; 70.724991
836.000000; 70.817106
835.000000; 70.678342
834.000000; 70.642975
833.000000; 70.221093
832.000000; 70.373599
831.000000; 70.430241
830.000000; 70.248719
829.000000; 70.374553
828.000000; 70.056470
827.000000; 70.048872
826.000000; 70.012737
825.000000; 69.887908
824.000000; 69.710897
823.000000; 69.951206
822.000000; 70.025457
821.000000; 69.952185
820.000000; 69.571595
819.000000; 69.589333
818.000000; 69.713096
817.000000; 69.750852
816.000000; 69.799118
815.000000; 69.729877
814.000000; 69.730398
813.000000; 69.526266
812.000000; 69.532009
811.000000; 69.515253
810.000000; 69.372664
809.000000; 69.340333
808.000000; 69.339666
807.000000; 69.351150
806.000000; 69.389139
805.000000; 69.065230
804.000000; 68.823347
803.000000; 68.919891
802.000000; 69.068128
801.000000; 69.067690
800.000000; 69.020515
799.000000; 69.022150
798.000000; 68.909976
797.000000; 68.841636
796.000000; 68.887794
795.000000; 68.847037
794.000000; 68.782372
793.000000; 68.654830
792.000000; 68.669586
791.000000; 68.614918
790.000000; 68.668051
789.000000; 68.746770
788.000000; 68.633016
787.000000; 68.498197
786.000000; 68.498874
785.000000; 68.440541
784.000000; 68.387071
783.000000; 68.366659
782.000000; 68.400471
781.000000; 68.336280
780.000000; 68.088758
779.000000; 68.009889
778.000000; 68.126536
777.000000; 68.109584
776.000000; 68.055592
775.000000; 67.950509
774.000000; 67.913074
773.000000; 67.971743
772.000000; 68.054631
771.000000; 67.918502
770.000000; 67.739911
769.000000; 67.698772
768.000000; 67.651409
767.000000; 67.710276
766.000000; 67.617928
765.000000; 67.509561
764.000000; 67.506641
763.000000; 67.444168
762.000000; 67.406696
761.000000; 67.318678
760.000000; 67.295888
759.000000; 67.333835
758.000000; 67.269512
757.000000; 67.247669
756.000000; 67.188165
755.000000; 67.055594
754.000000; 67.097525
753.000000; 67.135461
752.000000; 66.982203
751.000000; 66.939601
750.000000; 66.936881
749.000000; 66.904771
748.000000; 66.852512
747.000000; 66.812227
746.000000; 66.640762
745.000000; 66.699343
744.000000; 66.694172
743.000000; 66.519980
742.000000; 66.485582
741.000000; 66.510039
740.000000; 66.433397
739.000000; 66.382510
738.000000; 66.333946
737.000000; 66.328138
736.000000; 66.359383
735.000000; 66.373886
734.000000; 66.341436
733.000000; 66.300904
732.000000; 66.123942
731.000000; 66.043819
730.000000; 65.985908
729.000000; 66.050209
728.000000; 66.181020
727.000000; 66.071267
726.000000; 65.996023
725.000000; 65.958066
724.000000; 65.829339
723.000000; 65.882836
722.000000; 65.926808
721.000000; 65.853877
720.000000; 65.845150
719.000000; 65.828396
718.000000; 65.746449
717.000000; 65.717160
716.000000; 65.784025
715.000000; 65.670401
714.000000; 65.536883
713.000000; 65.550064
712.000000; 65.512029
711.000000; 65.566595
710.000000; 65.551787
709.000000; 65.463758
708.000000; 65.404966
707.000000; 65.342829
706.000000; 65.401339
705.000000; 65.401283
704.000000; 65.319478
703.000000; 65.298247
702.000000; 65.290378
701.000000; 65.216838
700.000000; 65.190515
699.000000; 65.180862
698.000000; 65.083118
697.000000; 65.189073
696.000000; 65.114300
695.000000; 65.001299
694.000000; 64.983506
693.000000; 64.943438
692.000000; 64.934102
691.000000; 64.882455
690.000000; 64.690841
