nm; %T
900.000000; 73.173636
899.000000; 76.002509
898.000000; 71.013427
897.000000; 72.023140
896.000000; 72.601356
895.000000; 74.113389
894.000000; 75.303482
893.000000; 71.603685
892.000000; 73.561518
891.000000; 75.164246
890.000000; 75.091278
889.000000; 73.210643
888.000000; 74.465370
887.000000; 73.370125
886.000000; 73.147635
885.000000; 73.951452
884.000000; 74.122733
883.000000; 75.350154
882.000000; 76.533698
881.000000; 75.130869
880.000000; 75.693468
879.000000; 72.212160
878.000000; 73.388480
877.000000; 73.802160
876.000000; 73.605787
875.000000; 73.309459
874.000000; 74.828741
873.000000; 74.144055
872.000000; 74.274562
871.000000; 74.844850
870.000000; 73.412148
869.000000; 74.015252
868.000000; 73.655155
867.000000; 74.396941
866.000000; 74.618184
865.000000; 74.062077
864.000000; 73.915743
863.000000; 73.785461
862.000000; 73.854321
861.000000; 73.614523
860.000000; 72.810529
859.000000; 73.680194
858.000000; 74.165437
857.000000; 74.351506
856.000000; 73.492275
855.000000; 73.596619
854.000000; 73.930120
853.000000; 73.249520
852.000000; 73.337374
851.000000; 73.610894
850.000000; 73.309623
849.000000; 73.054231
848.000000; 72.884920
847.000000; 73.293172
846.000000; 73.218930
845.000000; 73.172069
844.000000; 73.246223
843.000000; 73.103462
842.000000; 73.222247
841.000000; 73.023288
840.000000; 72.893377
839.000000; 73.061717
838.000000; 72.973046
837.000000; 72.687739
836.000000; 72.719885
835.000000; 72.781858
834.000000; 72.724996
833.000000; 72.545718
832.000000; 72.541459
831.000000; 72.282954
830.000000; 72.142699
829.000000; 72.349202
828.000000; 72.510625
827.000000; 72.307109
826.000000; 72.226271
825.000000; 71.939771
824.000000; 72.074968
823.000000; 72.142601
822.000000; 71.936466
821.000000; 72.042673
820.000000; 72.092788
819.000000; 72.211567
818.000000; 72.058971
817.000000; 71.947880
816.000000; 71.840896
815.000000; 71.903620
814.000000; 71.845626
813.000000; 71.862356
812.000000; 71.863844
811.000000; 71.720353
810.000000; 71.608654
809.000000; 71.947175
808.000000; 71.826964
807.000000; 71.695183
806.000000; 71.773090
805.000000; 71.693477
804.000000; 71.561326
803.000000; 71.666711
802.000000; 71.780497
801.000000; 71.867879
800.000000; 71.772974
799.000000; 71.735355
798.000000; 71.677415
797.000000; 71.617047
796.000000; 71.528371
795.000000; 71.468725
794.000000; 71.643493
793.000000; 71.614826
792.000000; 71.455214
791.000000; 71.436100
790.000000; 71.444192
789.000000; 71.586514
788.000000; 71.609265
787.000000; 71.320959
786.000000; 71.183860
785.000000; 71.197737
784.000000; 71.326039
783.000000; 71.303317
782.000000; 71.414992
781.000000; 71.459265
780.000000; 71.110016
779.000000; 71.048232
778.000000; 71.159669
777.000000; 71.243640
776.000000; 71.207877
775.000000; 71.084029
774.000000; 71.062727
773.000000; 70.993244
772.000000; 70.978710
771.000000; 71.013930
770.000000; 71.028677
769.000000; 71.032169
