nm; E1
850.000000; 0.174400
849.000000; 0.188800
848.000000; 0.202600
847.000000; 0.218300
846.000000; 0.238800
845.000000; 0.251300
844.000000; 0.269800
843.000000; 0.288800
842.000000; 0.308900
841.000000; 0.324500
840.000000; 0.342400
839.000000; 0.364100
838.000000; 0.382200
837.000000; 0.397100
836.000000; 0.414200
835.000000; 0.432600
834.000000; 0.450200
833.000000; 0.463300
832.000000; 0.477700
831.000000; 0.495100
830.000000; 0.506100
829.000000; 0.518800
828.000000; 0.531600
827.000000; 0.545600
826.000000; 0.550500
825.000000; 0.563700
824.000000; 0.571200
823.000000; 0.582400
822.000000; 0.587300
821.000000; 0.598900
820.000000; 0.608300
819.000000; 0.613200
818.000000; 0.618200
817.000000; 0.626100
816.000000; 0.633300
815.000000; 0.639100
814.000000; 0.644400
813.000000; 0.649700
812.000000; 0.657300
811.000000; 0.669600
810.000000; 0.732900
809.000000; 0.747800
808.000000; 0.753800
807.000000; 0.765100
806.000000; 0.779000
805.000000; 0.787700
804.000000; 0.798700
803.000000; 0.810800
802.000000; 0.823700
801.000000; 0.833600
800.000000; 0.845800
799.000000; 0.858700
798.000000; 0.873400
797.000000; 0.885100
796.000000; 0.897400
795.000000; 0.913200
794.000000; 0.928600
793.000000; 0.939500
792.000000; 0.954000
791.000000; 0.971800
790.000000; 0.985800
789.000000; 0.999300
788.000000; 1.018300
787.000000; 1.034100
786.000000; 1.050700
785.000000; 1.065600
784.000000; 1.084800
783.000000; 1.104200
782.000000; 1.121000
781.000000; 1.140000
780.000000; 1.161000
779.000000; 1.180800
778.000000; 1.194900
777.000000; 1.216900
776.000000; 1.239800
775.000000; 1.259500
774.000000; 1.278100
773.000000; 1.300400
772.000000; 1.326100
771.000000; 1.345800
770.000000; 1.369700
769.000000; 1.394900
768.000000; 1.417000
767.000000; 1.438000
766.000000; 1.462100
765.000000; 1.485500
764.000000; 1.510300
763.000000; 1.532100
762.000000; 1.558600
761.000000; 1.583200
760.000000; 1.609200
759.000000; 1.639900
758.000000; 1.673500
757.000000; 1.705000
756.000000; 1.732000
755.000000; 1.758900
754.000000; 1.792300
753.000000; 1.822100
752.000000; 1.849200
751.000000; 1.878300
750.000000; 1.910200
749.000000; 1.944500
748.000000; 1.973600
747.000000; 2.007400
746.000000; 2.042700
745.000000; 2.076400
744.000000; 2.108500
743.000000; 2.143800
742.000000; 2.181100
741.000000; 2.215700
740.000000; 2.250200
739.000000; 2.287300
738.000000; 2.324600
737.000000; 2.361000
736.000000; 2.399200
735.000000; 2.437900
734.000000; 2.476700
733.000000; 2.515100
732.000000; 2.556800
731.000000; 2.600400
730.000000; 2.638900
729.000000; 2.679000
728.000000; 2.724800
727.000000; 2.768200
726.000000; 2.808800
725.000000; 2.847900
724.000000; 2.894200
723.000000; 2.939900
722.000000; 2.985100
721.000000; 3.031100
720.000000; 3.078600
719.000000; 3.123500
718.000000; 3.168300
717.000000; 3.220600
716.000000; 3.274000
715.000000; 3.322200
714.000000; 3.370600
713.000000; 3.422100
712.000000; 3.473100
711.000000; 3.521200
710.000000; 3.571800
709.000000; 3.625400
708.000000; 3.681200
707.000000; 3.733000
706.000000; 3.787000
705.000000; 3.848000
704.000000; 3.899400
703.000000; 3.951300
702.000000; 4.007200
701.000000; 4.064700
700.000000; 4.121200
699.000000; 4.171500
698.000000; 4.227600
697.000000; 4.283200
696.000000; 4.337300
695.000000; 4.391100
694.000000; 4.445900
693.000000; 4.499600
692.000000; 4.551400
691.000000; 4.605300
690.000000; 4.741800
689.000000; 4.858000
688.000000; 4.929200
687.000000; 4.997800
686.000000; 5.070600
685.000000; 5.138700
684.000000; 5.207600
683.000000; 5.276300
682.000000; 5.348900
681.000000; 5.418600
680.000000; 5.489600
679.000000; 5.562200
678.000000; 5.636300
677.000000; 5.712400
676.000000; 5.789200
675.000000; 5.859800
674.000000; 5.934900
673.000000; 6.012100
672.000000; 6.091900
671.000000; 6.170000
670.000000; 6.246200
669.000000; 6.327100
668.000000; 6.404600
667.000000; 6.481200
666.000000; 6.560200
665.000000; 6.642900
664.000000; 6.729300
663.000000; 6.811500
662.000000; 6.893300
661.000000; 6.977700
660.000000; 7.056000
659.000000; 7.139900
658.000000; 7.223600
657.000000; 7.316100
656.000000; 7.399000
655.000000; 7.484100
654.000000; 7.569800
653.000000; 7.654300
652.000000; 7.737100
651.000000; 7.825700
650.000000; 7.910400
649.000000; 8.002200
648.000000; 8.085500
647.000000; 8.173100
646.000000; 8.266200
645.000000; 8.351600
644.000000; 8.438200
643.000000; 8.530700
642.000000; 8.625300
641.000000; 8.706400
640.000000; 8.792000
639.000000; 8.885200
638.000000; 8.971900
637.000000; 9.063200
636.000000; 9.154500
635.000000; 9.246500
634.000000; 9.334400
633.000000; 9.426400
632.000000; 9.511400
631.000000; 9.602100
