nm; E1
850.000000; 0.236200
849.000000; 0.257400
848.000000; 0.279100
847.000000; 0.305000
846.000000; 0.322300
845.000000; 0.348200
844.000000; 0.371900
843.000000; 0.401100
842.000000; 0.420600
841.000000; 0.446600
840.000000; 0.473100
839.000000; 0.500600
838.000000; 0.520900
837.000000; 0.547800
836.000000; 0.573900
835.000000; 0.595000
834.000000; 0.616900
833.000000; 0.638700
832.000000; 0.659400
831.000000; 0.677700
830.000000; 0.695000
829.000000; 0.713000
828.000000; 0.731600
827.000000; 0.743400
826.000000; 0.760800
825.000000; 0.775700
824.000000; 0.791400
823.000000; 0.799800
822.000000; 0.809200
821.000000; 0.826100
820.000000; 0.836800
819.000000; 0.842700
818.000000; 0.852600
817.000000; 0.864100
816.000000; 0.872100
815.000000; 0.877700
814.000000; 0.888200
813.000000; 0.898900
812.000000; 0.901400
811.000000; 0.922200
810.000000; 1.013300
809.000000; 1.024300
808.000000; 1.038000
807.000000; 1.056100
806.000000; 1.073500
805.000000; 1.084700
804.000000; 1.102200
803.000000; 1.120200
802.000000; 1.136600
801.000000; 1.149500
800.000000; 1.167300
799.000000; 1.187000
798.000000; 1.201900
797.000000; 1.219400
796.000000; 1.239200
795.000000; 1.261300
794.000000; 1.276200
793.000000; 1.295900
792.000000; 1.320400
791.000000; 1.342800
790.000000; 1.359700
789.000000; 1.381900
788.000000; 1.405000
787.000000; 1.429300
786.000000; 1.451200
785.000000; 1.477300
784.000000; 1.501800
783.000000; 1.523700
782.000000; 1.548000
781.000000; 1.574700
780.000000; 1.604600
779.000000; 1.625500
778.000000; 1.654800
777.000000; 1.685500
776.000000; 1.713100
775.000000; 1.740400
774.000000; 1.771500
773.000000; 1.802500
772.000000; 1.834900
771.000000; 1.862100
770.000000; 1.895100
769.000000; 1.927600
768.000000; 1.960100
767.000000; 1.990800
766.000000; 2.024400
765.000000; 2.059200
764.000000; 2.085800
763.000000; 2.118500
762.000000; 2.158300
761.000000; 2.193100
760.000000; 2.225200
759.000000; 2.270400
758.000000; 2.315700
757.000000; 2.359200
