nm, %T_slow_20171215, %T_fast_20171215, E1_fast_20171215, E1_empty_fast_20171215,result_fast_20171215, E1_slow_20171215, E1_empty_slow_20171215,result_slow_20171215, %T_fast_20171218, %T_slow_20171218, E1_fast_20171218, E1_empty_fast_20171218,result_fast_20171218
850,73.583078,72.575901,0.2046,0.2844,71.94092827,0.2078,0.2862,72.60656883,73.237216,72.86627,0.1744,0.2362,73.8357324301
849,73.975109,73.292406,0.2229,0.2978,74.84889187,0.2213,0.3068,72.13168188,74.205267,73.293256,0.1888,0.2574,73.3488733489
848,73.909127,73.072509,0.2324,0.3197,72.69314983,0.2374,0.3267,72.66605448,74.752086,73.922526,0.2026,0.2791,72.5904693658
847,74.014043,73.411544,0.2503,0.3443,72.69822829,0.2541,0.3496,72.68306636,74.007881,73.541986,0.2183,0.305,71.5737704918
846,73.589548,73.562768,0.2658,0.3699,71.85725872,0.2712,0.3722,72.86405159,73.828751,73.447747,0.2388,0.3223,74.0924604406
845,73.784773,73.135358,0.2875,0.3888,73.94547325,0.2889,0.3972,72.73413897,74.376208,73.201799,0.2513,0.3482,72.1711659966
844,73.84785,73.433222,0.3004,0.4126,72.80659234,0.3049,0.4209,72.4400095,73.991944,73.719053,0.2698,0.3719,72.5463834364
843,73.897923,73.316921,0.3172,0.4381,72.40356083,0.3223,0.445,72.42696629,73.944688,73.560561,0.2888,0.4011,72.0019945151
842,73.724068,73.298948,0.3376,0.4599,73.40726245,0.34,0.4667,72.85193915,73.729672,73.517351,0.3089,0.4206,73.4427009035
841,74.092779,73.466647,0.3548,0.4805,73.83975026,0.3566,0.4912,72.59771987,73.700432,73.186726,0.3245,0.4466,72.6600985222
840,73.783063,72.847969,0.3669,0.5055,72.58160237,0.3733,0.5144,72.56998445,73.803878,73.250803,0.3424,0.4731,72.3737053477
839,73.128971,72.946756,0.3819,0.5309,71.93445093,0.3903,0.5367,72.72219117,73.438911,73.240323,0.3641,0.5006,72.7327207351
838,73.314835,73.250407,0.4023,0.5489,73.29203862,0.4053,0.5582,72.60838409,73.624612,72.913257,0.3822,0.5209,73.3730082549
837,73.346956,73.1559,0.4158,0.5688,73.10126582,0.4187,0.5782,72.41438948,73.274808,73.501266,0.3971,0.5478,72.4899598394
836,73.555672,73.062987,0.4272,0.5907,72.32097511,0.4354,0.5982,72.78502173,73.423248,73.363438,0.4142,0.5739,72.1728524133
835,73.390034,72.936696,0.4423,0.6115,72.33033524,0.4494,0.6188,72.62443439,73.341973,73.317348,0.4326,0.595,72.7058823529
834,73.49359,72.902505,0.4587,0.6251,73.38025916,0.4636,0.6372,72.75580665,73.407155,72.887475,0.4502,0.6169,72.9777921867
833,73.638108,72.585003,0.4683,0.6443,72.68353252,0.4745,0.6542,72.53133598,73.02263,73.251859,0.4633,0.6387,72.537967747
832,73.711114,72.829618,0.4781,0.661,72.32980333,0.4865,0.6713,72.4713243,73.46039,73.331575,0.4777,0.6594,72.4446466485
831,73.402421,72.864346,0.4943,0.6783,72.87335987,0.4966,0.6872,72.26426077,73.136492,73.155925,0.4951,0.6777,73.0559244503
830,73.420652,72.428092,0.5079,0.6896,73.65139211,0.5087,0.7018,72.48503847,73.181926,73.117128,0.5061,0.695,72.8201438849
829,73.296014,72.500548,0.514,0.7059,72.8148463,0.5213,0.7163,72.77676951,73.33769,72.766554,0.5188,0.713,72.762973352
828,73.435239,72.917422,0.5247,0.7206,72.8143214,0.5286,0.7298,72.43080296,72.957162,72.934561,0.5316,0.7316,72.6626571897
827,73.568968,72.897348,0.5334,0.7331,72.75951439,0.5384,0.7413,72.62916498,72.888735,72.982437,0.5456,0.7434,73.3925208501
