nm	 %T
850.000000	 72.594879
849.000000	 73.964315
848.000000	 73.645006
847.000000	 73.384052
846.000000	 73.879387
845.000000	 73.359114
844.000000	 73.676725
843.000000	 73.141803
842.000000	 73.326196
841.000000	 73.472955
840.000000	 73.584339
839.000000	 73.292185
838.000000	 73.172597
837.000000	 72.832733
836.000000	 73.349039
835.000000	 73.207652
834.000000	 72.503401
833.000000	 72.703629
832.000000	 72.705930
831.000000	 73.037750
830.000000	 72.674228
829.000000	 72.575291
828.000000	 72.629976
827.000000	 72.660785
826.000000	 72.431129
825.000000	 72.495516
824.000000	 72.344016
823.000000	 72.189397
822.000000	 72.167140
821.000000	 72.477109
820.000000	 72.441290
819.000000	 72.461665
818.000000	 72.416115
817.000000	 72.685699
816.000000	 72.183663
815.000000	 72.245711
814.000000	 72.382658
813.000000	 72.481546
812.000000	 72.214611
811.000000	 72.128209
810.000000	 72.305261
809.000000	 72.545645
808.000000	 72.321349
807.000000	 72.395729
806.000000	 72.270438
805.000000	 72.543977
804.000000	 72.316897
803.000000	 72.536119
802.000000	 72.363960
801.000000	 72.281923
800.000000	 72.296651
799.000000	 72.259912
798.000000	 72.467045
797.000000	 72.384476
796.000000	 72.349117
795.000000	 72.428904
794.000000	 72.297707
793.000000	 72.257175
792.000000	 72.097493
791.000000	 72.182458
790.000000	 72.185446
789.000000	 72.217775
788.000000	 72.472747
787.000000	 72.244864
786.000000	 72.369020
785.000000	 72.342154
784.000000	 72.218891
783.000000	 72.625256
782.000000	 72.219261
781.000000	 72.000809
780.000000	 72.213030
779.000000	 72.153313
778.000000	 72.086717
777.000000	 72.014968
776.000000	 72.024013
775.000000	 72.198465
774.000000	 72.113521
773.000000	 72.311569
772.000000	 72.186786
771.000000	 72.305487
770.000000	 72.207078
769.000000	 72.322016
768.000000	 72.203876
767.000000	 72.099890
766.000000	 72.106750
765.000000	 72.027097
764.000000	 72.046606
763.000000	 72.319071
762.000000	 72.099873
761.000000	 72.084953
760.000000	 72.101554
759.000000	 71.990045
758.000000	 71.919440
757.000000	 71.928043
756.000000	 72.071566
755.000000	 72.063640
754.000000	 72.099756
753.000000	 72.113387
752.000000	 71.987165
751.000000	 71.998301
750.000000	 71.992459
749.000000	 72.060265
748.000000	 71.908000
747.000000	 71.865261
746.000000	 71.950349
745.000000	 71.984706
744.000000	 71.931529
743.000000	 71.851912
742.000000	 71.899867
741.000000	 71.932752
740.000000	 71.869953
739.000000	 71.779771
738.000000	 71.785667
737.000000	 71.868207
736.000000	 71.762826
735.000000	 71.854682
734.000000	 71.843934
733.000000	 71.758643
732.000000	 71.755763
731.000000	 71.840888
730.000000	 71.905679
729.000000	 71.798917
728.000000	 71.721284
727.000000	 71.839509
726.000000	 71.735642
725.000000	 71.573695
724.000000	 71.627251
723.000000	 71.757182
722.000000	 71.837634
721.000000	 71.773652
720.000000	 71.694925
719.000000	 71.778882
718.000000	 71.728388
717.000000	 71.695058
716.000000	 71.776906
715.000000	 71.712767
714.000000	 71.656765
713.000000	 71.689523
712.000000	 71.676128
711.000000	 71.570255
710.000000	 71.592555
709.000000	 71.656498
708.000000	 71.726787
707.000000	 71.663281
706.000000	 71.583483
705.000000	 71.577600
704.000000	 71.610226
703.000000	 71.622430
702.000000	 71.600741
701.000000	 71.544163
700.000000	 71.517363
699.000000	 71.569267
698.000000	 71.567488
697.000000	 71.622269
696.000000	 71.583025
695.000000	 71.522754
694.000000	 71.517431
693.000000	 71.577848
692.000000	 71.472691
691.000000	 71.379783
690.000000	 71.362443
