nm; %T
850.000000; 72.866270
849.000000; 73.293256
848.000000; 73.922526
847.000000; 73.541986
846.000000; 73.447747
845.000000; 73.201799
844.000000; 73.719053
843.000000; 73.560561
842.000000; 73.517351
841.000000; 73.186726
840.000000; 73.250803
839.000000; 73.240323
838.000000; 72.913257
837.000000; 73.501266
836.000000; 73.363438
835.000000; 73.317348
834.000000; 72.887475
833.000000; 73.251859
832.000000; 73.331575
831.000000; 73.155925
830.000000; 73.117128
829.000000; 72.766554
828.000000; 72.934561
827.000000; 72.982437
826.000000; 72.868049
825.000000; 72.955424
824.000000; 72.829821
823.000000; 72.920332
822.000000; 72.938117
821.000000; 72.803341
820.000000; 72.770345
819.000000; 72.874472
818.000000; 72.834654
817.000000; 72.728470
816.000000; 73.027315
815.000000; 72.821919
814.000000; 72.734465
813.000000; 72.757858
812.000000; 72.741796
811.000000; 72.891319
810.000000; 72.619621
809.000000; 72.800367
808.000000; 72.814359
807.000000; 72.800380
806.000000; 72.688563
805.000000; 72.756845
804.000000; 72.860604
803.000000; 72.656440
802.000000; 72.669292
801.000000; 72.669606
800.000000; 72.738746
799.000000; 72.611965
798.000000; 72.632792
797.000000; 72.908399
796.000000; 72.677022
795.000000; 72.640262
794.000000; 72.624603
793.000000; 72.556546
792.000000; 72.596785
791.000000; 72.570555
790.000000; 72.638841
789.000000; 72.465523
788.000000; 72.607074
787.000000; 72.797682
786.000000; 72.745109
785.000000; 72.611659
784.000000; 72.668783
783.000000; 72.594771
782.000000; 72.657736
781.000000; 72.579204
780.000000; 72.446286
779.000000; 72.415386
778.000000; 72.476182
777.000000; 72.522039
776.000000; 72.562056
775.000000; 72.599412
774.000000; 72.623226
773.000000; 72.556933
772.000000; 72.568149
771.000000; 72.509325
770.000000; 72.477646
769.000000; 72.428357
768.000000; 72.463621
767.000000; 72.524587
766.000000; 72.580604
765.000000; 72.476212
764.000000; 72.430109
763.000000; 72.484916
762.000000; 72.486699
761.000000; 72.440568
760.000000; 72.470993
759.000000; 72.497384
758.000000; 72.431816
757.000000; 72.285411
756.000000; 72.295722
755.000000; 72.382695
