nm	 %T
850.000000	 66.135439
849.000000	 67.973553
848.000000	 67.884865
847.000000	 68.163302
846.000000	 67.588542
845.000000	 67.467697
844.000000	 67.499017
843.000000	 68.198129
842.000000	 67.379953
841.000000	 67.596918
840.000000	 67.036275
839.000000	 67.137428
838.000000	 67.093259
837.000000	 67.380989
836.000000	 66.996783
835.000000	 66.786825
834.000000	 66.898036
833.000000	 67.314176
832.000000	 66.928231
831.000000	 66.465736
830.000000	 66.368824
829.000000	 66.407150
828.000000	 66.649544
827.000000	 66.692299
826.000000	 66.569558
825.000000	 66.541805
824.000000	 66.458215
823.000000	 67.045262
822.000000	 66.581711
821.000000	 66.197959
820.000000	 66.252376
819.000000	 66.670744
818.000000	 66.454009
817.000000	 66.577071
816.000000	 66.756346
815.000000	 66.437163
814.000000	 66.197110
813.000000	 66.497729
812.000000	 66.540335
811.000000	 66.002192
810.000000	 66.321065
809.000000	 66.494404
808.000000	 66.435701
807.000000	 66.348077
806.000000	 66.142043
805.000000	 66.457717
804.000000	 66.094089
803.000000	 66.495988
802.000000	 66.516968
801.000000	 66.371676
800.000000	 66.328209
799.000000	 66.506895
798.000000	 66.309688
797.000000	 66.335960
796.000000	 66.546181
795.000000	 66.581812
794.000000	 66.245851
793.000000	 66.180102
792.000000	 66.142723
791.000000	 66.261295
790.000000	 66.421663
789.000000	 66.365010
788.000000	 66.133900
787.000000	 66.112599
786.000000	 66.294956
785.000000	 66.343493
784.000000	 66.179613
783.000000	 66.154086
782.000000	 66.030857
781.000000	 66.027415
780.000000	 66.141412
779.000000	 66.157072
778.000000	 66.179123
777.000000	 66.051686
776.000000	 66.054182
775.000000	 66.128852
774.000000	 65.979117
773.000000	 66.327968
772.000000	 66.210062
771.000000	 66.142330
770.000000	 66.020611
769.000000	 65.986384
768.000000	 66.067550
767.000000	 66.175999
766.000000	 66.120389
765.000000	 66.066726
764.000000	 65.966711
763.000000	 65.982099
762.000000	 66.072973
761.000000	 66.012622
760.000000	 65.950683
759.000000	 66.006346
758.000000	 66.138740
757.000000	 66.164074
756.000000	 66.042094
755.000000	 65.903374
754.000000	 65.979842
753.000000	 65.992313
752.000000	 65.897247
751.000000	 65.844045
750.000000	 65.834173
