nm	 %T
900.000000	 73.962436
899.000000	 73.534502
898.000000	 77.333097
897.000000	 70.277545
896.000000	 72.649721
895.000000	 72.038620
894.000000	 71.813655
893.000000	 75.850089
892.000000	 72.720259
891.000000	 79.375210
890.000000	 73.701729
889.000000	 73.612528
888.000000	 76.766379
887.000000	 73.797520
886.000000	 79.071201
885.000000	 77.614292
884.000000	 74.487706
883.000000	 76.396635
882.000000	 76.307700
881.000000	 74.597338
880.000000	 74.207590
879.000000	 73.916784
878.000000	 77.017107
877.000000	 72.544964
876.000000	 75.123987
875.000000	 75.145529
874.000000	 73.660820
873.000000	 73.737010
872.000000	 74.295533
871.000000	 73.899006
870.000000	 73.926860
869.000000	 73.933252
868.000000	 73.606785
867.000000	 74.011826
866.000000	 74.044718
865.000000	 74.144643
864.000000	 74.400661
863.000000	 73.984263
862.000000	 74.226350
861.000000	 73.814238
860.000000	 72.673611
859.000000	 73.203769
858.000000	 73.839071
857.000000	 74.125300
856.000000	 73.838087
855.000000	 73.753248
854.000000	 73.757051
853.000000	 73.883280
852.000000	 73.932767
851.000000	 74.014139
850.000000	 73.596407
849.000000	 73.666728
848.000000	 73.573679
847.000000	 73.478113
846.000000	 73.435321
845.000000	 73.887360
844.000000	 73.533147
843.000000	 73.152298
842.000000	 73.356278
841.000000	 72.997746
840.000000	 72.970479
839.000000	 72.904699
838.000000	 73.069140
837.000000	 72.998165
836.000000	 72.827378
835.000000	 72.709244
834.000000	 72.919897
833.000000	 72.868098
832.000000	 72.859561
831.000000	 72.764781
830.000000	 72.508754
829.000000	 72.515107
828.000000	 72.676137
827.000000	 72.793109
826.000000	 72.614875
825.000000	 72.746349
824.000000	 72.604094
823.000000	 72.586677
822.000000	 72.565334
821.000000	 72.515633
820.000000	 72.608403
819.000000	 72.697733
818.000000	 72.579988
817.000000	 72.532481
816.000000	 72.539442
815.000000	 72.670820
814.000000	 72.570672
813.000000	 72.308756
812.000000	 72.411785
811.000000	 72.316829
810.000000	 72.050063
809.000000	 72.442326
808.000000	 72.569536
807.000000	 72.442599
806.000000	 72.353220
805.000000	 72.253224
804.000000	 72.222296
803.000000	 72.270757
802.000000	 72.367815
801.000000	 72.406558
800.000000	 72.298898
799.000000	 72.242327
798.000000	 72.322884
797.000000	 72.286858
796.000000	 72.388805
795.000000	 72.556441
794.000000	 72.352512
793.000000	 72.257488
792.000000	 72.313808
791.000000	 72.324985
790.000000	 72.223335
789.000000	 72.229461
788.000000	 72.211359
787.000000	 72.218095
786.000000	 72.421882
785.000000	 72.287063
784.000000	 72.153170
783.000000	 72.254936
782.000000	 72.377745
781.000000	 72.200413
780.000000	 71.995019
779.000000	 72.075638
778.000000	 72.066622
777.000000	 72.016537
776.000000	 72.105898
775.000000	 72.029738
774.000000	 71.950359
773.000000	 71.984700
772.000000	 71.954942
771.000000	 72.037635
770.000000	 72.224620
769.000000	 72.099863
768.000000	 71.963723
767.000000	 72.000959
766.000000	 72.059273
765.000000	 72.107426
764.000000	 72.000258
763.000000	 71.950940
762.000000	 71.960017
761.000000	 71.845518
760.000000	 71.949358
759.000000	 71.957052
758.000000	 71.882173
757.000000	 71.789544
756.000000	 71.835959
755.000000	 71.915781
754.000000	 71.903072
753.000000	 71.810010
752.000000	 71.872543
751.000000	 71.869885
750.000000	 71.840376
749.000000	 71.810435
748.000000	 71.769922
747.000000	 71.827060
746.000000	 71.903297
745.000000	 71.733349
744.000000	 71.694958
743.000000	 71.767727
742.000000	 71.708775
741.000000	 71.721574
740.000000	 71.757923
739.000000	 71.650161
738.000000	 71.666812
737.000000	 71.754619
736.000000	 71.695707
735.000000	 71.698209
734.000000	 71.657249
733.000000	 71.628507
732.000000	 71.560323
731.000000	 71.617781
730.000000	 71.531185
729.000000	 71.481171
728.000000	 71.442486
727.000000	 71.454121
726.000000	 71.470247
725.000000	 71.495275
724.000000	 71.482853
723.000000	 71.478947
722.000000	 71.445778
721.000000	 71.385035
720.000000	 71.343083
719.000000	 71.331019
718.000000	 71.299879
717.000000	 71.254958
716.000000	 71.179132
715.000000	 71.331781
714.000000	 71.342374
713.000000	 71.289092
712.000000	 71.200639
711.000000	 71.252445
710.000000	 71.240672
709.000000	 71.110026
708.000000	 71.249831
707.000000	 71.273829
706.000000	 71.310886
705.000000	 71.099082
704.000000	 71.124864
703.000000	 71.122249
702.000000	 70.968062
701.000000	 70.951045
700.000000	 71.056135
699.000000	 71.045248
698.000000	 71.081013
697.000000	 71.009458
696.000000	 71.022068
695.000000	 70.994703
694.000000	 70.971172
693.000000	 70.891321
692.000000	 70.857198
691.000000	 70.944808
690.000000	 70.742239
689.000000	 70.729002
688.000000	 70.651659
687.000000	 70.672072
686.000000	 70.666945
685.000000	 70.589209
684.000000	 70.624614
683.000000	 70.680161
682.000000	 70.553400
681.000000	 70.586810
680.000000	 70.563333
679.000000	 70.505428
678.000000	 70.482722
677.000000	 70.561331
676.000000	 70.575845
675.000000	 70.543144
674.000000	 70.514862
673.000000	 70.419794
672.000000	 70.484167
671.000000	 70.386545
670.000000	 70.465562
669.000000	 70.396741
668.000000	 70.410892
667.000000	 70.309546
666.000000	 70.395642
665.000000	 70.288283
664.000000	 70.285257
663.000000	 70.310400
662.000000	 70.231880
661.000000	 70.296420
660.000000	 70.194925
659.000000	 70.211817
658.000000	 70.125820
657.000000	 70.172141
656.000000	 70.152420
655.000000	 70.145367
654.000000	 70.052339
653.000000	 70.137120
652.000000	 70.074519
651.000000	 70.059698
650.000000	 70.155057
649.000000	 69.986837
648.000000	 70.079535
647.000000	 69.993162
646.000000	 69.959973
645.000000	 69.873079
644.000000	 69.953984
643.000000	 69.905060
642.000000	 69.906104
641.000000	 69.875570
640.000000	 69.901809
639.000000	 69.742840
638.000000	 69.738459
637.000000	 69.748823
636.000000	 69.699709
635.000000	 69.823811
634.000000	 69.687200
633.000000	 69.649891
632.000000	 69.682140
631.000000	 69.653583
630.000000	 69.659126
629.000000	 69.618261
628.000000	 69.525369
627.000000	 69.488137
626.000000	 69.528503
625.000000	 69.560710
624.000000	 69.516279
623.000000	 69.458121
622.000000	 69.463459
621.000000	 69.441822
620.000000	 69.447910
619.000000	 69.366380
618.000000	 69.371534
617.000000	 69.296075
616.000000	 69.321659
615.000000	 69.349380
614.000000	 69.323933
613.000000	 69.260727
612.000000	 69.274530
611.000000	 69.183441
610.000000	 69.218213
609.000000	 69.212211
608.000000	 69.158006
607.000000	 69.130641
606.000000	 69.085355
605.000000	 69.091870
604.000000	 69.043301
603.000000	 69.014500
602.000000	 69.006190
601.000000	 68.995886
600.000000	 68.986883
599.000000	 68.969005
598.000000	 68.977570
597.000000	 68.893194
596.000000	 68.858528
595.000000	 68.806957
594.000000	 68.891483
593.000000	 68.782633
592.000000	 68.761633
591.000000	 68.790064
590.000000	 68.715269
589.000000	 68.681998
588.000000	 68.719654
587.000000	 68.694606
586.000000	 68.685452
585.000000	 68.658871
584.000000	 68.533471
583.000000	 68.513032
582.000000	 68.499324
581.000000	 68.544641
580.000000	 68.507886
579.000000	 68.468187
578.000000	 68.425662
577.000000	 68.410575
576.000000	 68.361638
575.000000	 68.354684
574.000000	 68.288899
573.000000	 68.307771
572.000000	 68.254025
571.000000	 68.235487
570.000000	 68.179049
569.000000	 68.166333
568.000000	 68.135038
567.000000	 68.171179
566.000000	 68.089287
565.000000	 68.083099
564.000000	 68.036752
563.000000	 68.040540
562.000000	 68.011252
561.000000	 67.999795
560.000000	 67.940791
559.000000	 67.915631
558.000000	 67.869424
557.000000	 67.809057
556.000000	 67.825642
555.000000	 67.810178
554.000000	 67.788923
553.000000	 67.744522
552.000000	 67.694706
551.000000	 67.702345
550.000000	 67.686974
549.000000	 67.666492
