nm	 %T
900.000000	 72.936752
899.000000	 69.191470
898.000000	 68.384005
897.000000	 69.973907
896.000000	 73.071750
895.000000	 67.499298
894.000000	 69.990469
893.000000	 73.206242
892.000000	 70.752941
891.000000	 72.327043
890.000000	 72.551485
889.000000	 70.437255
888.000000	 69.349291
887.000000	 69.919710
886.000000	 73.079745
885.000000	 71.659398
884.000000	 71.152096
883.000000	 71.698015
882.000000	 72.852563
881.000000	 70.363808
880.000000	 69.439929
879.000000	 71.815108
878.000000	 70.914468
877.000000	 72.798052
876.000000	 70.858833
875.000000	 70.427578
874.000000	 70.569691
873.000000	 72.032986
872.000000	 70.361857
871.000000	 71.372948
870.000000	 69.178945
869.000000	 69.955253
868.000000	 69.250003
867.000000	 70.018809
866.000000	 70.912369
865.000000	 69.563957
864.000000	 69.466110
863.000000	 70.839353
862.000000	 71.099079
861.000000	 70.770119
860.000000	 69.654549
859.000000	 70.488736
858.000000	 69.959372
857.000000	 70.181222
856.000000	 70.479695
855.000000	 70.493946
854.000000	 70.399130
853.000000	 70.468177
852.000000	 69.852314
851.000000	 69.862784
850.000000	 70.081944
849.000000	 70.158675
848.000000	 70.020727
847.000000	 70.167425
846.000000	 70.329445
845.000000	 69.661951
844.000000	 69.935924
843.000000	 70.042600
842.000000	 69.689595
841.000000	 69.605798
840.000000	 69.963602
839.000000	 69.836120
838.000000	 69.710271
837.000000	 69.598682
836.000000	 69.441312
835.000000	 69.491322
834.000000	 69.338904
833.000000	 69.467837
832.000000	 69.446824
831.000000	 69.075732
830.000000	 69.420055
829.000000	 69.625460
828.000000	 69.160315
827.000000	 68.974261
826.000000	 69.207761
825.000000	 69.419580
824.000000	 69.265337
823.000000	 69.218409
822.000000	 69.275837
821.000000	 69.151680
820.000000	 68.982860
819.000000	 69.255882
818.000000	 69.316406
817.000000	 69.260565
816.000000	 69.284504
815.000000	 69.188008
814.000000	 68.933462
813.000000	 69.038462
812.000000	 69.050769
811.000000	 68.993290
810.000000	 68.832466
809.000000	 68.867897
808.000000	 68.949849
807.000000	 68.845657
806.000000	 68.957536
805.000000	 68.919906
804.000000	 68.958031
803.000000	 69.037146
802.000000	 68.962610
801.000000	 68.916750
800.000000	 68.928272
799.000000	 68.925955
798.000000	 68.945713
797.000000	 68.904602
796.000000	 68.998612
795.000000	 68.960884
794.000000	 68.972614
793.000000	 68.858461
792.000000	 68.759378
791.000000	 68.906486
790.000000	 68.922570
789.000000	 68.900390
788.000000	 68.823902
787.000000	 68.734585
786.000000	 68.689963
785.000000	 68.828759
784.000000	 68.909379
783.000000	 68.888954
782.000000	 68.941815
781.000000	 68.991946
780.000000	 68.806837
779.000000	 68.734808
778.000000	 68.870486
777.000000	 68.890981
776.000000	 68.850900
775.000000	 68.807992
774.000000	 68.817253
773.000000	 68.735780
772.000000	 68.729957
771.000000	 68.813581
770.000000	 68.749346
769.000000	 68.750434
768.000000	 68.798188
767.000000	 68.653554
766.000000	 68.624359
765.000000	 68.648645
764.000000	 68.614887
763.000000	 68.640002
762.000000	 68.677844
761.000000	 68.688876
760.000000	 68.663140
759.000000	 68.716639
758.000000	 68.720796
757.000000	 68.647292
756.000000	 68.611284
755.000000	 68.549335
754.000000	 68.552344
753.000000	 68.520071
752.000000	 68.593726
751.000000	 68.645029
750.000000	 68.537733
749.000000	 68.545351
748.000000	 68.662455
747.000000	 68.627272
746.000000	 68.536623
745.000000	 68.613258
744.000000	 68.656822
743.000000	 68.639590
742.000000	 68.584193
741.000000	 68.591459
740.000000	 68.506851
739.000000	 68.430284
738.000000	 68.471164
737.000000	 68.476007
736.000000	 68.536251
735.000000	 68.542065
734.000000	 68.483892
733.000000	 68.454214
732.000000	 68.383057
731.000000	 68.414692
730.000000	 68.516023
729.000000	 68.338497
728.000000	 68.373163
727.000000	 68.410050
726.000000	 68.345315
725.000000	 68.312827
724.000000	 68.344231
723.000000	 68.389300
722.000000	 68.406786
721.000000	 68.272309
720.000000	 68.332070
719.000000	 68.296324
718.000000	 68.222427
717.000000	 68.325396
716.000000	 68.213371
715.000000	 68.261465
714.000000	 68.280996
713.000000	 68.191736
712.000000	 68.159007
711.000000	 68.240165
710.000000	 68.227096
709.000000	 68.142666
708.000000	 68.150112
707.000000	 68.191450
706.000000	 68.201790
705.000000	 68.191001
704.000000	 68.162423
703.000000	 68.251203
702.000000	 68.160018
701.000000	 68.189997
700.000000	 68.152265
699.000000	 68.080021
698.000000	 68.069756
697.000000	 67.964248
696.000000	 68.094942
695.000000	 68.120353
694.000000	 68.071252
693.000000	 68.153422
692.000000	 68.057554
691.000000	 67.976802
690.000000	 67.899242
689.000000	 67.851534
688.000000	 67.902854
687.000000	 67.866312
686.000000	 67.897067
685.000000	 67.856411
