nm	 %T
900.000000	 72.323318
899.000000	 78.184998
898.000000	 73.973891
897.000000	 74.130030
896.000000	 75.684934
895.000000	 74.704843
894.000000	 73.228711
893.000000	 74.723598
892.000000	 76.369317
891.000000	 75.423104
890.000000	 75.005447
889.000000	 77.386145
888.000000	 73.334349
887.000000	 76.070354
886.000000	 75.448892
885.000000	 73.528665
884.000000	 74.513091
883.000000	 72.263138
882.000000	 74.811424
881.000000	 75.204726
880.000000	 74.997025
879.000000	 74.822344
878.000000	 75.273966
877.000000	 74.455736
876.000000	 75.037770
875.000000	 74.325952
874.000000	 75.850825
873.000000	 74.376644
872.000000	 73.965419
871.000000	 73.092885
870.000000	 74.893594
869.000000	 74.776293
868.000000	 74.371481
867.000000	 74.037372
866.000000	 74.587772
865.000000	 74.592214
864.000000	 74.219455
863.000000	 74.518621
862.000000	 74.447904
861.000000	 73.445469
860.000000	 73.448359
859.000000	 74.434526
858.000000	 74.415078
857.000000	 74.140463
856.000000	 73.850914
855.000000	 74.550951
854.000000	 74.487340
853.000000	 74.053828
852.000000	 74.099517
851.000000	 74.229672
850.000000	 74.232416
849.000000	 74.043520
848.000000	 73.988182
847.000000	 73.808341
846.000000	 74.120543
845.000000	 73.856484
844.000000	 73.468003
843.000000	 73.750898
842.000000	 73.635066
841.000000	 73.486319
840.000000	 73.443988
839.000000	 73.458874
838.000000	 73.411243
837.000000	 73.702701
836.000000	 73.317745
835.000000	 73.378292
834.000000	 73.180743
833.000000	 73.238002
832.000000	 73.297269
831.000000	 73.076257
830.000000	 73.004149
829.000000	 73.099008
828.000000	 72.882773
827.000000	 72.790196
826.000000	 73.124569
825.000000	 73.170802
824.000000	 73.065086
823.000000	 73.121757
822.000000	 72.883013
821.000000	 72.805245
820.000000	 73.132019
819.000000	 72.990454
818.000000	 72.790116
817.000000	 72.961010
816.000000	 72.887795
815.000000	 72.830178
814.000000	 72.713079
813.000000	 72.458700
812.000000	 72.575777
811.000000	 72.526461
810.000000	 72.723362
809.000000	 72.761617
808.000000	 72.675346
807.000000	 72.719088
806.000000	 72.878440
805.000000	 72.883340
804.000000	 72.891036
803.000000	 72.780555
802.000000	 72.677109
801.000000	 72.662088
800.000000	 72.713015
799.000000	 72.714864
798.000000	 72.624776
797.000000	 72.785151
796.000000	 72.775217
795.000000	 72.465592
794.000000	 72.391935
793.000000	 72.532804
792.000000	 72.635923
791.000000	 72.589619
790.000000	 72.468244
789.000000	 72.470737
788.000000	 72.508178
787.000000	 72.492231
786.000000	 72.527966
785.000000	 72.588942
784.000000	 72.677510
783.000000	 72.606743
782.000000	 72.617453
781.000000	 72.581297
780.000000	 72.461466
779.000000	 72.540976
778.000000	 72.549758
777.000000	 72.476925
776.000000	 72.355775
775.000000	 72.339538
774.000000	 72.408984
773.000000	 72.369648
772.000000	 72.325732
771.000000	 72.370055
770.000000	 72.432565
769.000000	 72.425498
768.000000	 72.412634
767.000000	 72.317101
766.000000	 72.171101
765.000000	 72.169131
764.000000	 72.181596
763.000000	 72.107550
762.000000	 72.138842
761.000000	 72.142687
760.000000	 72.169945
759.000000	 72.173171
758.000000	 72.256123
757.000000	 72.224536
756.000000	 72.243676
755.000000	 72.228215
754.000000	 72.148912
753.000000	 72.087364
752.000000	 72.068940
751.000000	 71.972243
750.000000	 71.928507
749.000000	 72.038018
748.000000	 71.997848
747.000000	 72.042205
746.000000	 72.023818
745.000000	 71.949426
744.000000	 71.947073
743.000000	 71.988494
742.000000	 72.077064
741.000000	 71.895281
740.000000	 71.920412
739.000000	 71.877431
738.000000	 71.803221
737.000000	 71.881977
736.000000	 71.981209
735.000000	 71.846251
734.000000	 71.868322
733.000000	 71.763138
732.000000	 71.825481
731.000000	 71.802626
730.000000	 71.774113
729.000000	 71.730899
728.000000	 71.773218
727.000000	 71.791152
726.000000	 71.785963
725.000000	 71.682826
724.000000	 71.685590
723.000000	 71.776591
