nm	 %T
900.000000	 71.482898
899.000000	 70.430467
898.000000	 74.684688
897.000000	 68.604643
896.000000	 69.427336
895.000000	 67.296135
894.000000	 70.731731
893.000000	 72.359510
892.000000	 67.219433
891.000000	 72.964612
890.000000	 69.518357
889.000000	 69.899824
888.000000	 73.397878
887.000000	 75.052787
886.000000	 74.050074
885.000000	 72.267132
884.000000	 70.592732
883.000000	 72.276856
882.000000	 69.903884
881.000000	 69.218027
880.000000	 69.808476
879.000000	 72.115845
878.000000	 71.096544
877.000000	 72.889664
876.000000	 70.661891
875.000000	 71.855143
874.000000	 71.678142
873.000000	 70.432721
872.000000	 70.344017
871.000000	 71.342071
870.000000	 70.818406
869.000000	 70.502140
868.000000	 70.141132
867.000000	 70.331747
866.000000	 70.897061
865.000000	 69.741621
864.000000	 69.920098
863.000000	 70.463174
862.000000	 71.327031
861.000000	 70.080278
860.000000	 69.683317
859.000000	 69.841757
858.000000	 69.997316
857.000000	 70.105468
856.000000	 70.348149
855.000000	 70.505594
854.000000	 70.556151
853.000000	 70.752386
852.000000	 70.293042
851.000000	 69.269865
850.000000	 70.017699
849.000000	 70.194554
848.000000	 70.432925
847.000000	 70.446146
846.000000	 70.324839
845.000000	 70.074712
844.000000	 69.998197
843.000000	 69.918730
842.000000	 69.875072
841.000000	 69.768559
840.000000	 69.742631
839.000000	 69.615095
838.000000	 69.431166
837.000000	 69.625008
836.000000	 69.719203
835.000000	 69.526354
834.000000	 69.325933
833.000000	 69.449449
832.000000	 69.499806
831.000000	 69.365203
830.000000	 69.542930
829.000000	 69.563490
828.000000	 69.283747
827.000000	 69.150844
826.000000	 69.328212
825.000000	 69.419746
824.000000	 69.316884
823.000000	 69.299824
822.000000	 69.505354
821.000000	 69.178339
820.000000	 69.236844
819.000000	 69.354732
818.000000	 69.231290
817.000000	 69.421731
816.000000	 69.370518
815.000000	 69.193881
814.000000	 68.975867
813.000000	 68.943845
812.000000	 68.978766
811.000000	 68.838913
810.000000	 68.901251
809.000000	 69.100398
808.000000	 69.039719
807.000000	 68.997213
806.000000	 69.080422
805.000000	 68.966860
804.000000	 69.117024
803.000000	 69.133827
802.000000	 69.068863
801.000000	 69.020684
800.000000	 68.964932
799.000000	 68.947562
798.000000	 68.932804
797.000000	 68.902120
796.000000	 69.048859
795.000000	 69.174472
794.000000	 69.262905
793.000000	 69.036253
792.000000	 68.836729
791.000000	 68.979404
790.000000	 68.890864
789.000000	 68.854124
788.000000	 68.834860
787.000000	 68.851595
786.000000	 68.897062
785.000000	 69.101472
784.000000	 69.028983
783.000000	 68.902674
782.000000	 68.958868
781.000000	 68.934464
780.000000	 68.994416
779.000000	 69.040323
778.000000	 68.981066
777.000000	 68.972503
776.000000	 69.032495
775.000000	 68.939329
774.000000	 68.821344
773.000000	 68.764408
772.000000	 68.818496
771.000000	 69.027693
770.000000	 69.048901
769.000000	 68.872454
768.000000	 68.834931
767.000000	 68.792493
766.000000	 68.792271
765.000000	 68.733410
764.000000	 68.688575
763.000000	 68.817491
762.000000	 68.837712
761.000000	 68.749869
760.000000	 68.699203
759.000000	 68.777496
758.000000	 68.852030
757.000000	 68.817956
756.000000	 68.768556
755.000000	 68.749506
754.000000	 68.785821
753.000000	 68.725139
752.000000	 68.730377
751.000000	 68.801153
750.000000	 68.641709
749.000000	 68.648241
748.000000	 68.781767
747.000000	 68.818070
746.000000	 68.672597
745.000000	 68.627431
744.000000	 68.647787
743.000000	 68.716353
742.000000	 68.667741
741.000000	 68.657013
740.000000	 68.614424
739.000000	 68.574983
738.000000	 68.620847
737.000000	 68.713157
736.000000	 68.725374
735.000000	 68.678666
734.000000	 68.606799
733.000000	 68.604415
732.000000	 68.589839
731.000000	 68.640020
730.000000	 68.658748
729.000000	 68.535246
728.000000	 68.504301
727.000000	 68.519970
726.000000	 68.405599
725.000000	 68.495036
724.000000	 68.544130
723.000000	 68.466574
722.000000	 68.477804
721.000000	 68.516872
720.000000	 68.599736
719.000000	 68.409012
718.000000	 68.412798
717.000000	 68.462493
716.000000	 68.360316
715.000000	 68.401132
714.000000	 68.400911
713.000000	 68.315535
712.000000	 68.269128
711.000000	 68.338853
710.000000	 68.349574
709.000000	 68.262888
708.000000	 68.289191
707.000000	 68.318079
706.000000	 68.272455
705.000000	 68.196558
704.000000	 68.307392
703.000000	 68.351827
702.000000	 68.211570
701.000000	 68.219100
700.000000	 68.266748
699.000000	 68.270832
698.000000	 68.239161
697.000000	 68.161682
696.000000	 68.134428
695.000000	 68.162958
694.000000	 68.251596
693.000000	 68.198320
692.000000	 68.160071
691.000000	 68.201706
690.000000	 68.062690
689.000000	 68.076654
688.000000	 68.104362
687.000000	 67.974856
686.000000	 67.960716
685.000000	 67.960705
684.000000	 67.917510
683.000000	 67.949921
682.000000	 67.907528
681.000000	 68.033080
680.000000	 67.931952
679.000000	 67.996632
678.000000	 67.982415
677.000000	 67.928538
676.000000	 67.965140
675.000000	 67.888954
674.000000	 67.890201
673.000000	 67.973202
672.000000	 67.930190
671.000000	 67.852882
670.000000	 67.804551
669.000000	 67.876803
668.000000	 67.813727
667.000000	 67.841546
666.000000	 67.739988
665.000000	 67.748437
664.000000	 67.757428
663.000000	 67.757103
662.000000	 67.761229
661.000000	 67.686881
660.000000	 67.646813
659.000000	 67.665299
658.000000	 67.609020
657.000000	 67.632701
656.000000	 67.690093
655.000000	 67.703837
654.000000	 67.659187
653.000000	 67.597026
652.000000	 67.611437
651.000000	 67.667278
650.000000	 67.586321
649.000000	 67.588990
648.000000	 67.614935
647.000000	 67.491662
646.000000	 67.599358
645.000000	 67.507795
644.000000	 67.548008
643.000000	 67.540558
642.000000	 67.555337
641.000000	 67.504341
640.000000	 67.518355
639.000000	 67.533660
638.000000	 67.459741
637.000000	 67.413182
636.000000	 67.426217
635.000000	 67.417526
634.000000	 67.416611
633.000000	 67.446544
632.000000	 67.384589
631.000000	 67.281998
630.000000	 67.380931
629.000000	 67.282461
628.000000	 67.349677
627.000000	 67.368184
626.000000	 67.234324
625.000000	 67.333544
624.000000	 67.252054
623.000000	 67.328518
622.000000	 67.230164
621.000000	 67.176207
620.000000	 67.207893
619.000000	 67.211595
618.000000	 67.261379
617.000000	 67.191855
616.000000	 67.196929
615.000000	 67.159613
614.000000	 67.151153
613.000000	 67.099641
612.000000	 67.086226
611.000000	 67.081268
610.000000	 67.005659
609.000000	 67.049920
608.000000	 67.038917
607.000000	 67.130308
606.000000	 67.060842
605.000000	 66.977049
604.000000	 67.012597
603.000000	 66.931209
602.000000	 66.949286
601.000000	 66.965022
600.000000	 66.945659
599.000000	 66.935461
598.000000	 66.867795
597.000000	 66.847277
596.000000	 66.828566
595.000000	 66.838781
594.000000	 66.830949
593.000000	 66.864387
592.000000	 66.804237
591.000000	 66.737506
590.000000	 66.755946
589.000000	 66.733995
588.000000	 66.659780
587.000000	 66.659258
586.000000	 66.639463
585.000000	 66.723188
584.000000	 66.710864
583.000000	 66.629503
582.000000	 66.645300
581.000000	 66.609578
580.000000	 66.562492
579.000000	 66.590485
578.000000	 66.598325
577.000000	 66.532259
576.000000	 66.492358
575.000000	 66.523513
574.000000	 66.452274
573.000000	 66.482768
572.000000	 66.464943
571.000000	 66.408397
570.000000	 66.428362
569.000000	 66.395619
568.000000	 66.343616
567.000000	 66.351131
566.000000	 66.309035
565.000000	 66.323910
564.000000	 66.311275
563.000000	 66.301598
562.000000	 66.251209
561.000000	 66.284676
560.000000	 66.209118
559.000000	 66.216246
558.000000	 66.211211
557.000000	 66.182308
556.000000	 66.125561
555.000000	 66.059113
554.000000	 66.042842
553.000000	 66.059023
552.000000	 66.046237
551.000000	 65.967422
550.000000	 65.960466
549.000000	 65.931512
548.000000	 65.927571
547.000000	 65.935539
546.000000	 65.916604
545.000000	 65.879917
544.000000	 65.819358
543.000000	 65.808654
542.000000	 65.791486
541.000000	 65.721064
540.000000	 65.733526
539.000000	 65.702792
538.000000	 65.663158
537.000000	 65.629682
536.000000	 65.587517
535.000000	 65.560912
534.000000	 65.544808
533.000000	 65.525803
532.000000	 65.495073
531.000000	 65.463623
530.000000	 65.443150
529.000000	 65.427211
528.000000	 65.390722
527.000000	 65.330009
526.000000	 65.299804
525.000000	 65.269928
524.000000	 65.238410
523.000000	 65.209528
522.000000	 65.176222
521.000000	 65.124931
520.000000	 65.080926
